queue_size,calls,mean_ms,p95_ms,relative_x
8,136,0.3671185832525439,1.0218003299087286,1.0
16,188,1.3554744345651186,7.153839571401477,3.6921978248992007
24,324,1.4379656360553648,5.666673241648822,3.916896887418462
32,404,2.338430588940472,6.588285032194107,6.369687331604912
48,612,0.6737782194939582,2.252070244867354,1.8353149370007802
