node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,fitted_latency_ms,relative_error_pct
edge_fast,decode,1,128,28,7.451862504240125,2.9250259399414062,7.1818492343691345,3.623433332503825
edge_fast,decode,1,256,28,7.257844001287594,2.963786125183105,7.297241799925856,0.5428306068754298
edge_fast,decode,1,512,28,7.428091019392013,3.043076515197754,7.4426192395617825,0.19558484315609498
edge_fast,decode,1,1024,28,7.848874985938892,3.201873302459717,7.6098992592398025,3.0447131229279316
edge_fast,decode,1,2048,28,7.479365012841299,3.561000347137451,7.79089726372777,4.165223255605277
edge_fast,decode,2,128,28,7.543416548287496,2.9640984535217285,7.472855696837677,0.9353964612472223
edge_fast,decode,2,256,28,7.606113475048914,3.043388843536377,7.592923935915521,0.17340707809132302
edge_fast,decode,2,512,28,7.851300004404038,3.201969623565674,7.74419202753405,1.3642069059889232
edge_fast,decode,2,1024,28,7.639316521817818,3.5610127449035645,7.918250185429621,3.6512908296857485
edge_fast,decode,2,2048,28,7.798432488925755,4.155838489532471,8.1065821769286,3.9514311169640237
edge_fast,decode,4,128,28,7.926962018245831,3.044468879699707,7.7756536573501,1.9087812020223927
edge_fast,decode,4,256,28,7.956765504786745,3.202683448791504,7.900587026893459,0.7060466700883574
edge_fast,decode,4,512,28,8.10128852026537,3.56173038482666,8.057984458016307,0.5345330207748877
edge_fast,decode,4,1024,28,8.234715525759384,4.155916690826416,8.239095402337773,0.053187952451882355
edge_fast,decode,4,2048,28,8.777652983553708,5.425539493560791,8.435058551889123,3.90303002757672
edge_fast,decode,8,128,28,7.935573492432013,3.2038450241088867,8.09072090401097,1.955087577815489
edge_fast,decode,8,256,28,7.927296974230558,3.562296867370605,8.220716537705059,3.701382254611206
edge_fast,decode,8,512,28,8.075630525127053,4.156306266784668,8.384491667403575,3.824607147584457
edge_fast,decode,8,1024,28,8.577226515626535,5.425695896148682,8.572941175025576,0.04996184481255235
edge_fast,decode,8,2048,28,9.500061511062086,7.966894626617432,8.776844694955665,7.612759299129701
