phase,batch_size,token_length,group_size,group_mean_ms,group_median_ms,group_min_ms,group_max_ms,full_28_block_ms,linear_g_over_28_ms
prefill,1,128,1,0.29817714222839903,0.2887679934501648,0.2805759906768799,0.48627200722694397,8.348959982395172,0.29817714222839903
prefill,1,128,2,0.5899259238331406,0.5776639878749847,0.5642240047454834,0.8170239925384521,8.348959982395172,0.5963542844567981
prefill,1,128,4,1.1705625569820404,1.1572479903697968,1.134880006313324,1.4263039827346802,8.348959982395172,1.1927085689135961
prefill,1,128,8,2.3296335197630382,2.3142400085926056,2.279711991548538,2.6049279868602753,8.348959982395172,2.3854171378271922
decode,1,128,1,0.2707131441150393,0.26371200382709503,0.2549760043621063,0.41574400663375854,7.5799680352211,0.2707131441150393
decode,1,128,2,0.5366376318313457,0.5273599922657013,0.5109760165214539,0.7222079932689667,7.5799680352211,0.5414262882300785
decode,1,128,4,1.0657139241695404,1.0557760000228882,1.0334720313549042,1.2712959945201874,7.5799680352211,1.082852576460157
decode,1,128,8,2.1226956262474967,2.1078080236911774,2.0830720365047455,2.339711993932724,7.5799680352211,2.165705152920314
