node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,fitted_latency_ms,relative_error_pct
edge_fast,prefill,1,128,28,9.350604988867415,2.925077438354492,5.793224238164228,38.04439129808725
edge_fast,prefill,1,256,28,11.409801489207894,2.964202880859375,9.8285636642273,13.858591899922429
edge_fast,prefill,1,512,28,17.367841996019706,3.04446792602539,17.83725084233278,2.702747102493504
edge_fast,prefill,1,1024,28,28.97624848992564,3.204265594482422,33.79044739285994,16.614293270600854
edge_fast,prefill,1,2048,28,58.16846148809418,3.5248374938964844,65.6303994628007,12.828150829180537
edge_fast,prefill,2,128,28,11.358768009813502,2.964202880859375,10.08057819753755,11.252891256971264
edge_fast,prefill,2,256,28,17.38618698436767,3.04446792602539,17.102325149788342,1.6326859640618918
edge_fast,prefill,2,512,28,28.827600996010005,3.204265594482422,31.03794960338126,7.667473292963875
edge_fast,prefill,2,1024,28,56.5417725010775,3.5248374938964844,58.79752505168733,3.989532784043585
edge_fast,prefill,2,2048,28,120.239883515751,4.165493011474609,114.20106433339717,5.022309574645229
edge_fast,prefill,4,128,28,17.219788511283696,3.04446792602539,18.329633587645585,6.445172515531393
edge_fast,prefill,4,256,28,28.17468048306182,3.204265594482422,31.097358440111293,10.373420059924163
edge_fast,prefill,4,512,28,56.033249478787184,3.5248374938964844,56.4366678570839,0.7199624902165234
edge_fast,prefill,4,1024,28,117.11423902306706,4.165493011474609,106.91222953075318,8.711160638890775
edge_fast,prefill,4,2048,28,223.1458699970972,5.444850921630859,207.65313492252324,6.942873320835159
edge_fast,prefill,8,128,28,28.49338599480689,3.204265594482422,34.201174746569826,20.031977781802485
edge_fast,prefill,8,256,28,55.99039047956467,3.5248374938964844,58.02441085804476,3.632802631055893
edge_fast,prefill,8,512,28,116.26034395885654,4.165493011474609,105.3049058653975,9.423194289994589
edge_fast,prefill,8,1024,28,216.544544469798,5.444850921630859,199.48701250587015,7.877146942534455
edge_fast,prefill,8,2048,28,464.1818625095766,8.00551986694336,387.4589811192455,16.528625434766578
