phase,group_size,mean_group_ms,mean_position_spread_pct,p95_position_spread_pct,max_position_spread_pct
decode,1,0.2775595218741468,73.71836484113543,84.21479981039596,84.36372004877933
decode,2,0.5485187614405597,43.34230463046077,48.56404260817288,50.50353245230799
decode,4,1.0883221252262592,24.744846130330433,27.865989841880605,29.399561568846938
decode,8,2.165553380454343,13.695573401311497,15.574571302562154,16.427214054839474
prefill,1,2.8766816590158713,22.484920587913717,71.02580970209732,72.1600853466686
prefill,2,5.747233367076627,12.57310433331036,41.396301241578264,45.52968217516759
prefill,4,11.48615970114867,6.669122752543999,21.951906850314778,25.340295839335607
prefill,8,22.963685019740037,3.4990445147502007,11.663037475729746,14.18317711808586
