model,phase,fit_R2,fit_MAPE_pct,fit_P95_APE_pct,cv_R2,cv_MAPE_pct,cv_P95_APE_pct,cv_Max_APE_pct
decode_paper_family,decode,0.7536852576273966,2.294844702861865,4.3375988704864685,0.6143017930472965,2.7691965308773483,5.755645489686652,9.977118509990252
decode_total_work_power,decode,0.8462481167861987,2.1268208854385424,4.193075733223576,0.6899488735619195,2.799041558635745,6.688165371872928,7.314075873242802
decode_log_interaction,decode,0.8640975691665211,1.8448701784796668,4.087058851261743,0.6420409746596558,2.8523558731762626,5.9301981315524115,9.017509941458462
prefill_total_work_power,prefill,0.9975502354986725,2.979273910097761,5.67386329444595,0.9949650452965804,3.567772700319342,7.806440786514307,10.88999926054997
prefill_attention_aware,prefill,0.9978642266242328,3.8526118045856315,9.59335025770016,0.9980436995795381,4.764147563834782,11.943181264504476,18.74451287805252
prefill_paper_family,prefill,0.9707109841519033,10.187371875380473,21.119311338612363,0.9430048279179296,12.809931301501388,24.071467809388164,44.4865260370891
