phase,batch_size,token_length,group_size,group_mean_ms,group_median_ms,group_min_ms,group_max_ms,full_28_block_ms,linear_g_over_28_ms
prefill,1,128,1,0.30352514343602316,0.29337599873542786,0.28569599986076355,0.504720002412796,8.498704016208649,0.30352514343602316
prefill,1,128,2,0.6002589640793977,0.5882880091667175,0.5739520043134689,0.8472480028867722,8.498704016208649,0.6070502868720463
prefill,1,128,4,1.1898835229873657,1.177600011229515,1.159168004989624,1.4606880098581314,8.498704016208649,1.2141005737440926
prefill,1,128,8,2.367763053803217,2.353728011250496,2.3198719918727875,2.6556960195302963,8.498704016208649,2.4282011474881853
decode,1,128,1,0.2755462830620153,0.2677839994430542,0.26318399608135223,0.4275200068950653,7.715295925736427,0.2755462830620153
decode,1,128,2,0.5457896237020139,0.5350400060415268,0.5273759812116623,0.741888016462326,7.715295925736427,0.5510925661240306
decode,1,128,4,1.0828543871641159,1.0706239938735962,1.058831974864006,1.2963840067386627,7.715295925736427,1.1021851322480611
decode,1,128,8,2.1556037848904017,2.142864018678665,2.1219199299812317,2.3819679915905,7.715295925736427,2.2043702644961223
prefill,1,512,1,0.5169474333524704,0.510208010673523,0.5073919892311096,0.7045120000839233,14.474528133869171,0.5169474333524704
prefill,1,512,2,1.0271502313790497,1.0195040106773376,1.015311986207962,1.2170239984989166,14.474528133869171,1.0338948667049408
prefill,1,512,4,2.0476352190971374,2.038400024175644,2.0347839891910553,2.2400000393390656,14.474528133869171,2.0677897334098816
prefill,1,512,8,4.088930320172083,4.078224033117294,4.071520000696182,4.277760058641434,14.474528133869171,4.135579466819763
decode,1,512,1,0.26827200023191317,0.26009601354599,0.2549760043621063,0.4336639940738678,7.511616006493568,0.26827200023191317
decode,1,512,2,0.5308100746737586,0.5192639976739883,0.5119999945163727,0.7352319955825806,7.511616006493568,0.5365440004638263
decode,1,512,4,1.0527449607849122,1.0389280021190643,1.027103990316391,1.2810880094766617,7.511616006493568,1.0730880009276527
decode,1,512,8,2.0944289557990574,2.0789280235767365,2.054687976837158,2.3389919847249985,7.511616006493568,2.1461760018553053
prefill,1,2048,1,1.707063417349543,1.703719973564148,1.6972800493240356,1.7663359642028809,47.7977756857872,1.707063417349543
prefill,1,2048,2,3.4121208676585444,3.4079039692878723,3.3997920751571655,3.4830719232559204,47.7977756857872,3.414126834699086
prefill,1,2048,4,6.8215833234786984,6.815247893333435,6.806128025054932,6.900159955024719,47.7977756857872,6.828253669398172
prefill,1,2048,8,13.639376694247836,13.630223870277405,13.618287861347198,13.732400000095367,47.7977756857872,13.656507338796343
decode,1,2048,1,0.2748965695500374,0.26521599292755127,0.2590720057487488,0.4527519941329956,7.697103947401047,0.2748965695500374
decode,1,2048,2,0.5435644410274647,0.5289440006017685,0.5218240022659302,0.7742879837751389,7.697103947401047,0.5497931391000748
decode,1,2048,4,1.076233594417572,1.0568480044603348,1.0487039983272552,1.334416002035141,7.697103947401047,1.0995862782001495
decode,1,2048,8,2.138305510083834,2.1121599823236465,2.1059359908103943,2.4184479862451553,7.697103947401047,2.199172556400299
prefill,2,128,1,0.3256708564502852,0.317440003156662,0.31539198756217957,0.5436799824237823,9.118783980607986,0.3256708564502852
prefill,2,128,2,0.6436290365678293,0.6343680024147034,0.6318079829216003,0.876479983329773,9.118783980607986,0.6513417129005704
prefill,2,128,4,1.2783590388298034,1.2682240009307861,1.2651519775390625,1.5103359818458557,9.118783980607986,1.3026834258011408
prefill,2,128,8,2.5483733316262565,2.5365760028362274,2.5338879823684692,2.778559982776642,9.118783980607986,2.6053668516022817
decode,2,128,1,0.2736691417438643,0.26628800481557846,0.25804799795150757,0.4376480132341385,7.662735968828201,0.2736691417438643
decode,2,128,2,0.5416159977515539,0.5309439897537231,0.5217279940843582,0.7264160066843033,7.662735968828201,0.5473382834877286
decode,2,128,4,1.075899515748024,1.0654720067977905,1.0455039888620377,1.2850080132484436,7.662735968828201,1.0946765669754572
decode,2,128,8,2.1427420867340907,2.1309439837932587,2.0993599742650986,2.367888033390045,7.662735968828201,2.1893531339509145
prefill,2,512,1,0.8797165666307721,0.8750319927930832,0.8714240193367004,1.0131199955940247,24.63206386566162,0.8797165666307721
prefill,2,512,2,1.754761470688714,1.7500639855861664,1.7448960542678833,1.8886399865150452,24.63206386566162,1.7594331332615443
prefill,2,512,4,3.505039975643158,3.5001279711723328,3.4913280308246613,3.6403039693832397,24.63206386566162,3.5188662665230885
prefill,2,512,8,7.0061972836653394,7.003295928239822,6.985215991735458,7.142943948507309,24.63206386566162,7.037732533046177
decode,2,512,1,0.2807348572782108,0.27161600440740585,0.26470398902893066,0.47785601019859314,7.860576003789902,0.2807348572782108
decode,2,512,2,0.5546109632209495,0.5432320088148117,0.5299199819564819,0.7702080011367798,7.860576003789902,0.5614697145564216
decode,2,512,4,1.1007545614242553,1.086463987827301,1.0659839808940887,1.3497920036315918,7.860576003789902,1.1229394291128432
decode,2,512,8,2.190096003668649,2.1740000247955322,2.137743979692459,2.4598080068826675,7.860576003789902,2.2458788582256863
prefill,2,2048,1,3.313510835170746,3.3126879930496216,3.299920082092285,3.3268799781799316,92.77830338478088,3.313510835170746
prefill,2,2048,2,6.626615661161917,6.624767899513245,6.615567922592163,6.641567945480347,92.77830338478088,6.627021670341492
prefill,2,2048,4,13.25311351299286,13.254751920700073,13.233231782913208,13.275583982467651,92.77830338478088,13.254043340682983
prefill,2,2048,8,26.504645909581864,26.50545585155487,26.47721576690674,26.535695910453796,92.77830338478088,26.508086681365967
decode,2,2048,1,0.2777131402066776,0.2682879865169525,0.2611199915409088,0.45926399528980255,7.775967925786972,0.2777131402066776
decode,2,2048,2,0.5492598464091619,0.5372479856014252,0.5227519869804382,0.765952005982399,7.775967925786972,0.5554262804133552
decode,2,2048,4,1.0899609482288362,1.0732159912586212,1.0536959767341614,1.3378559947013855,7.775967925786972,1.1108525608267104
decode,2,2048,8,2.1681858819155466,2.146527960896492,2.11660797894001,2.439168006181717,7.775967925786972,2.2217051216534207
prefill,4,128,1,0.5013217159679958,0.49459200352430344,0.492031991481781,0.6830080151557922,14.037008047103882,0.5013217159679958
prefill,4,128,2,0.9960118543218683,0.9891840070486069,0.9855999946594238,1.1781760156154633,14.037008047103882,1.0026434319359916
prefill,4,128,4,1.9854092848300935,1.9783679842948914,1.972351998090744,2.171968013048172,14.037008047103882,2.005286863871983
prefill,4,128,8,3.96486858243034,3.957024022936821,3.9488000124692917,4.147264003753662,14.037008047103882,4.010573727743966
decode,4,128,1,0.26679485557334764,0.2588160037994385,0.2529279887676239,0.46028800308704376,7.470255956053734,0.26679485557334764
decode,4,128,2,0.526878218959879,0.5171200037002563,0.5084159970283508,0.7357439994812012,7.470255956053734,0.5335897111466953
decode,4,128,4,1.045813113451004,1.0347520112991333,1.019903987646103,1.272831991314888,7.470255956053734,1.0671794222933906
decode,4,128,8,2.081830842863946,2.0690560042858124,2.0470400005578995,2.3214079588651657,7.470255956053734,2.134358844586781
prefill,4,512,1,1.6168525857584817,1.614848017692566,1.6117759943008423,1.6655360460281372,45.27187240123749,1.6168525857584817
prefill,4,512,2,3.232006545420046,3.2286880016326904,3.2250880002975464,3.291648030281067,45.27187240123749,3.2337051715169634
prefill,4,512,4,6.461527733802796,6.457360029220581,6.453760027885437,6.526976108551025,45.27187240123749,6.467410343033927
prefill,4,512,8,12.92008009978703,12.914192080497742,12.909072041511536,12.988416194915771,45.27187240123749,12.934820686067853
decode,4,512,1,0.27128056968961445,0.2621520012617111,0.25600001215934753,0.4673919975757599,7.595855951309204,0.27128056968961445
decode,4,512,2,0.535787848410783,0.5232639908790588,0.5150720030069351,0.7571839988231659,7.595855951309204,0.5425611393792289
decode,4,512,4,1.063096312880516,1.047648012638092,1.0311679989099503,1.3086079955101013,7.595855951309204,1.0851222787584578
decode,4,512,8,2.1158498915888013,2.0993599742650986,2.070639982819557,2.378175973892212,7.595855951309204,2.1702445575169156
prefill,4,2048,1,6.810625110353742,6.802175879478455,6.76147198677063,7.056352138519287,190.69750308990479,6.810625110353742
prefill,4,2048,2,13.61250955970199,13.602303981781006,13.53932785987854,13.97654414176941,190.69750308990479,13.621250220707484
prefill,4,2048,4,27.204145774841308,27.189759969711304,27.106815814971924,27.620831966400146,190.69750308990479,27.24250044141497
prefill,4,2048,8,54.39124547867548,54.369791746139526,54.30988788604736,54.73430395126343,190.69750308990479,54.48500088282994
decode,4,2048,1,0.2800519956009729,0.26956799626350403,0.2672640085220337,0.5027680099010468,7.84145587682724,0.2800519956009729
decode,4,2048,2,0.5522340646496525,0.5386239886283875,0.5362079739570618,0.795632004737854,7.84145587682724,0.5601039912019458
decode,4,2048,4,1.0949932610988617,1.077247992157936,1.0743199586868286,1.3613920211791992,7.84145587682724,1.1202079824038915
decode,4,2048,8,2.1774102470704486,2.1550079733133316,2.1500319242477417,2.459168002009392,7.84145587682724,2.240415964807783
prefill,8,128,1,0.8535497092774936,0.8509439826011658,0.8412159979343414,0.9871359765529633,23.89939185976982,0.8535497092774936
prefill,8,128,2,1.7022293243143294,1.6972799897193909,1.6931839883327484,1.8401279747486115,23.89939185976982,1.7070994185549873
prefill,8,128,4,3.399700464010239,3.3942079842090607,3.386879950761795,3.5400959849357605,23.89939185976982,3.4141988371099745
prefill,8,128,8,6.795161112433388,6.787743955850601,6.777119904756546,6.9408960044384,23.89939185976982,6.828397674219949
decode,8,128,1,0.2814331411251,0.27187199890613556,0.26521599292755127,0.4965759962797165,7.8801279515028,0.2814331411251
decode,8,128,2,0.5554417741519434,0.5416959822177887,0.5319679975509644,0.7873920053243637,7.8801279515028,0.5628662822502
decode,8,128,4,1.102210552096367,1.0859519988298416,1.071615993976593,1.3649279922246933,7.8801279515028,1.1257325645004
decode,8,128,8,2.1917226499035243,2.1667839735746384,2.153471991419792,2.4780160039663315,7.8801279515028,2.2514651290008
prefill,8,512,1,3.178470262459346,3.1792638897895813,3.1641600131988525,3.1928319931030273,88.9971673488617,3.178470262459346
prefill,8,512,2,6.356331807595712,6.35699200630188,6.334464073181152,6.378495931625366,88.9971673488617,6.356940524918692
prefill,8,512,4,12.711062970161437,12.711935997009277,12.6807199716568,12.744703769683838,88.9971673488617,12.713881049837385
prefill,8,512,8,25.418889028685435,25.42851185798645,25.379600048065186,25.44281566143036,88.9971673488617,25.42776209967477
decode,8,512,1,0.28074628700103077,0.2698879987001419,0.261695995926857,0.49854400753974915,7.860896036028862,0.28074628700103077
decode,8,512,2,0.5541315580959674,0.5387360155582428,0.5279359966516495,0.8077920079231262,7.860896036028862,0.5614925740020615
decode,8,512,4,1.098193284869194,1.0767359733581543,1.060928001999855,1.3837920129299164,7.860896036028862,1.122985148004123
decode,8,512,8,2.182914293238095,2.1520639806985855,2.134192019701004,2.492784023284912,7.860896036028862,2.245970296008246
prefill,8,2048,1,14.512926271983556,14.48524785041809,14.460415840148926,15.144959926605225,406.36193561553955,14.512926271983556
prefill,8,2048,2,29.00317508203012,28.96998405456543,28.92969560623169,29.724160194396973,406.36193561553955,29.025852543967112
prefill,8,2048,4,57.97645559310913,57.93484830856323,57.89363193511963,58.735615730285645,406.36193561553955,58.051705087934224
prefill,8,2048,8,115.91868934177216,115.84527969360352,115.80366325378418,116.7228798866272,406.36193561553955,116.10341017586845
decode,8,2048,1,0.2995754214269774,0.29183998703956604,0.2908160090446472,0.49663999676704407,8.388111799955368,0.2995754214269774
decode,8,2048,2,0.5921007262335883,0.5847039818763733,0.5826559960842133,0.7905279994010925,8.388111799955368,0.5991508428539548
decode,8,2048,4,1.1771110105514526,1.1694079637527466,1.1673599779605865,1.3757439851760864,8.388111799955368,1.1983016857079096
decode,8,2048,8,2.3475504176957265,2.3377919495105743,2.336767941713333,2.544127941131592,8.388111799955368,2.3966033714158193
