mode,keep_avg_ms,reactive_avg_ms,practical_avg_ms,reactive_gain_pct,practical_extra_pct,total_gain_pct,practical_extra_ms,extra_ci_low_ms,extra_ci_high_ms,total_gain_ms,total_ci_low_ms,total_ci_high_ms,reactive_p95_gain_pct,practical_p95_gain_pct,extra_p95_pct,reactive_slo,practical_slo,extra_slo_pp,goodput_gain_vs_reactive_pct,anchor_accuracy_pct,eta_mae_pct,reactive_traffic_mb_ep,practical_traffic_mb_ep,traffic_overhead_pct,prefetch_waste_pct,plan_rate,accept_rate
walking,15747.320382073953,14881.49125723508,14808.265558643614,5.498263220861965,0.49205887585940244,5.963267404525007,73.2256985914685,9.136649969368065,137.31474721356892,939.0548234303404,193.8914893776041,1684.2181574830768,7.4359468678416025,8.058456813501335,0.6725180289706478,0.41333333333333333,0.4141666666666666,0.0833333333333297,0.13469786439999076,83.78378378378379,10.588792806295634,48.91025390625,55.959148044295375,14.411894388355728,14.383049529408645,0.7432432432432432,0.527027027027027
driving,15754.965489284976,13370.251794899665,13196.758251930172,15.136267331129138,1.2976086436582657,16.237466461571447,173.4935429694982,6.3534558935145355,340.6336300454819,2558.2072373548067,1236.642910159648,3879.7715645499657,18.57618166878178,18.72010813227173,0.17676211511535866,0.42833333333333334,0.42833333333333334,0.0,0.19588906085838964,80.0,9.9263131352317,105.32876953125,116.10380232976777,10.229904751067021,16.032062599403027,0.819672131147541,0.4491803278688525
high_speed,15706.25550474346,11652.157283093193,11387.17911329277,25.811997139775844,2.2740696281614348,27.499083980559735,264.9781698004228,119.14052309491785,410.8158165059277,4319.076391450688,2560.8992183869354,6077.25356451444,28.54249831154464,29.938752028483652,1.9539638021862094,0.45416666666666666,0.4675000000000001,1.333333333333342,3.1780094883049115,80.15952143569292,10.03141372429088,166.76701171875,185.96186616271126,11.509982847406942,20.374256048446558,0.732801595214357,0.2542372881355932
