variant,episodes,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mean_batch_size
zero,10,5198.829482415784,8619.878617879822,0.42499999999999993,0.5573559004636279,0.25543532375483774,1.6496103896103893
normal,10,5198.829482415784,8619.878617879822,0.42499999999999993,0.5573559004636279,0.25543532375483774,1.6496103896103893
extreme,10,7374.006559962856,13332.885031943462,0.38333333333333325,0.49248688873732804,0.20019089308756297,1.0
