episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20007,r0004,0,2444.00987758916,1591.6267083984158,-0.3487642079546581,0.4,1,1,1,0.0,0.0,0.0,0.0,131,0
20007,r0000,0,1258.6520711300527,1597.7093342778444,0.26938124595733315,0.4,1,1,0,0.0,0.0,0.0,0.0,71,0
20007,r0019,0,7250.897251367098,4929.501005919558,-0.32015296382938807,0.4,1,1,1,0.0,0.0,0.0,0.0,390,0
20007,r0002,0,576.8931261029793,796.2609452978242,0.3802572942352691,0.4,1,1,1,0.0,0.0,0.0,0.0,33,0
20007,r0021,0,382.5064692987289,322.2052366026165,-0.15764761523292956,0.4,1,1,0,0.0,0.0,0.0,0.0,19,0
20007,r0021,1,6064.578623899957,8396.082446947541,0.38444613676197337,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20007,r0012,0,3918.3392733011497,4056.6616925202347,0.03530128699206542,0.4,1,1,1,0.0,0.0,0.0,0.0,203,0
20008,r0007,0,2184.5906656332754,1611.1367230641247,-0.2624994931958643,0.4,1,1,1,0.0,0.0,0.0,0.0,37,0
20008,r0000,0,4939.385881314538,4184.1140548521935,-0.15290804254016718,0.4,1,1,1,125.28943333779156,125.28943333779156,0.0,52.902668706248505,84,2
20008,r0005,0,0.0,0.0,0.34699586092571755,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0005,1,2212.928115669307,2027.9796352991466,-0.08357636159104154,0.4,1,1,0,0.0,0.0,0.0,0.0,49,0
20008,r0023,0,530.1754477132745,410.91839384770327,-0.22493884690425522,0.4,1,1,0,0.0,0.0,0.0,0.0,9,0
20008,r0014,0,2945.9041007239175,3699.810541724331,0.25591683069898674,0.4,1,1,1,468.1390216820002,0.0,468.1390216820002,144.41404800124224,51,23
20008,r0013,0,0.0,0.0,0.15371593072544365,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0003,0,0.0,0.0,0.017205661297147512,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0021,0,0.0,0.0,-0.13701164422313278,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0017,0,0.0,0.0,0.38018473002743625,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0004,0,0.0,0.0,-0.2969789896190051,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20009,r0005,0,4790.8847234872665,5595.377131274035,0.16792147050475914,0.4,1,1,0,0.0,0.0,0.0,0.0,228,0
20009,r0007,0,835.2737140443678,756.489224794498,-0.09432176294450578,0.4,1,1,1,737.8242124331664,737.8242124331664,0.0,181.4209389185013,39,28
20009,r0017,0,1406.9155032272174,1797.6915616907584,0.27775375107259037,0.4,1,1,1,0.0,0.0,0.0,0.0,65,0
20009,r0017,1,7347.794159179048,4482.101138868132,-0.39000725363693284,0.4,1,1,0,0.0,0.0,0.0,0.0,320,0
20009,r0020,0,1347.9441148815968,1546.8690403524527,0.147576537687788,0.4,1,1,1,0.0,0.0,0.0,0.0,58,0
20009,r0015,0,2183.8361135316845,1882.9446359954625,-0.1377811620898705,0.4,1,1,1,0.0,0.0,0.0,0.0,105,0
20009,r0008,0,6072.6284155838075,5730.034230436557,-0.056416128519912845,0.4,1,1,0,0.0,0.0,0.0,0.0,266,0
20010,r0005,0,2623.100525276028,3260.351725278124,0.24293815424212095,0.4,1,1,1,0.0,0.0,0.0,0.0,109,0
20010,r0005,1,8647.407603410313,9039.018192474838,0.045286472781748244,0.4,1,1,0,0.0,0.0,0.0,0.0,401,0
20010,r0021,0,7151.316301857785,7597.651304811273,0.06241298582158039,0.4,1,1,1,0.0,0.0,0.0,0.0,300,0
20010,r0002,0,2326.4402438824673,1710.8638557401848,-0.2646001287851612,0.4,1,1,0,0.0,0.0,0.0,0.0,97,0
20010,r0002,1,3136.6535706027444,3121.518479833649,-0.004825235056540589,0.4,1,1,0,0.0,0.0,0.0,0.0,131,0
20010,r0001,0,0.0,0.0,-0.04760853012085031,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20010,r0001,1,4244.021357064514,5495.470131973136,0.2948733452590867,0.4,1,1,0,0.0,0.0,0.0,0.0,167,0
20010,r0006,0,4117.743282935691,3577.204428927582,-0.13127065406144978,0.4,1,1,0,0.0,0.0,0.0,0.0,169,0
20010,r0006,1,4885.748689387492,3644.55537159069,-0.2540436270274896,0.4,1,1,0,0.0,0.0,0.0,0.0,192,0
20010,r0009,0,5034.245266262493,5222.182896437515,0.03733183828656611,0.4,1,1,1,0.0,0.0,0.0,0.0,206,0
20010,r0012,0,434.634710306178,266.27195212310005,-0.387366112716757,0.4,1,1,1,0.0,0.0,0.0,0.0,17,0
20010,r0012,1,9759.784618285179,7987.61418828421,-0.18157884618486025,0.4,1,1,1,0.0,0.0,0.0,0.0,366,0
20010,r0013,0,0.0,0.0,-0.08069860854973382,0.4,1,0,0,0.0,0.0,0.0,0.0,0,0
20010,r0013,1,7437.94512509081,4567.687800384589,-0.38589385595543474,0.4,1,1,0,0.0,0.0,0.0,0.0,311,0
