episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20011,r0021,0,0.0,0.0,-0.015235758954821488,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20011,r0021,1,8453.19415425063,8156.982918635703,-0.03504133824561212,0.3,1,1,0,0.0,0.0,0.0,0.0,393,0
20011,r0000,0,2258.061858778774,1740.292220231058,-0.2292982526296869,0.3,1,1,1,0.0,0.0,0.0,0.0,96,0
20011,r0013,0,327.76853790532186,258.7114787910226,-0.21068849242097437,0.3,1,1,0,0.0,0.0,0.0,0.0,14,0
20011,r0013,1,9276.053522468059,7349.455663728596,-0.20769585406907592,0.3,1,1,0,0.0,0.0,0.0,0.0,377,0
20011,r0008,0,7781.245532213865,8162.429126237393,0.04898747796165165,0.3,1,1,1,0.0,0.0,0.0,0.0,333,0
20011,r0015,0,0.0,0.0,0.18686765988857074,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20011,r0023,0,0.0,0.0,-0.03877670710210501,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20011,r0005,0,4829.521158574313,3843.052893014759,-0.2042579860755309,0.3,1,1,0,0.0,0.0,0.0,0.0,215,0
20012,r0015,0,0.0,0.0,-0.10361630679025349,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0007,0,0.0,0.0,-0.17107436983232174,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0007,1,3461.0028403302094,3585.623729793771,0.036007161858229386,0.3,1,1,0,0.0,0.0,0.0,0.0,287,0
20012,r0009,0,0.0,0.0,-0.1733112377428204,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0005,0,6998.8198454006015,9034.498233700966,0.2908602354778638,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0002,0,536.6961034960186,591.6019603510967,0.10230343857058666,0.3,1,1,1,45.15342442670882,0.0,45.15342442670882,5.732604416481723,8,2
20012,r0013,0,0.0,0.0,0.11604433731204278,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0013,1,1359.0700731874022,1164.7586037360795,-0.1429738416619001,0.3,1,1,0,0.0,0.0,0.0,0.0,56,0
20012,r0014,0,2117.5089228594225,1878.6926052884273,-0.1127817290368272,0.3,1,1,1,2794.8247839781734,2117.5089228594225,677.315861118751,126.89527707501517,30,28
20012,r0014,1,3986.2639370560064,4281.398235444529,0.07403782164170714,0.3,1,1,0,0.0,0.0,0.0,0.0,334,0
20012,r0010,0,0.0,0.0,0.10387268120645865,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20013,r0006,0,3807.039471075053,4245.609013727207,0.1151996311003069,0.3,1,1,1,0.0,0.0,0.0,0.0,140,0
20013,r0002,0,855.0714827460561,645.7181285707136,-0.24483725442813933,0.3,1,1,0,0.0,0.0,0.0,0.0,32,0
20013,r0017,0,2833.7643128350774,2309.032834684849,-0.18517117876512942,0.3,1,1,1,0.0,0.0,0.0,0.0,105,0
20013,r0023,0,900.5722663976194,1137.6925667233907,0.2632995809145629,0.3,1,1,0,0.0,0.0,0.0,0.0,33,0
