episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20007,r0004,0,2444.00987758916,2230.9140852914743,-0.08719105198866453,0.1,1,1,1,0.0,0.0,0.0,0.0,131,0
20007,r0000,0,1258.6520711300527,1343.4163869170004,0.06734531148933329,0.1,1,1,0,0.0,0.0,0.0,0.0,71,0
20007,r0019,0,7250.897251367098,6670.548190005213,-0.08003824095734702,0.1,1,1,1,0.0,0.0,0.0,0.0,390,0
20007,r0002,0,576.8931261029793,631.7350809016905,0.09506432355881728,0.1,1,1,1,0.0,0.0,0.0,0.0,33,0
20007,r0021,0,382.5064692987289,367.43116112470085,-0.03941190380823239,0.1,1,1,0,0.0,0.0,0.0,0.0,19,0
20007,r0021,1,6064.578623899957,6647.454579661852,0.09611153419049334,0.1,1,1,0,0.0,0.0,0.0,0.0,289,0
20007,r0012,0,3918.3392733011497,3952.919878105921,0.008825321748016354,0.1,1,1,1,0.0,0.0,0.0,0.0,203,0
20008,r0007,0,2184.5906656332754,2041.227179990988,-0.06562487329896607,0.1,1,1,1,0.0,0.0,0.0,0.0,37,0
20008,r0000,0,4939.385881314538,4750.567924698952,-0.038227010635041796,0.1,1,1,1,125.28943333779156,125.28943333779156,0.0,52.902668706248505,84,2
20008,r0005,0,0.0,0.0,0.08674896523142939,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0005,1,2212.928115669307,2166.690995576767,-0.020894090397760384,0.1,1,1,0,0.0,0.0,0.0,0.0,49,0
20008,r0023,0,530.1754477132745,500.3611842468817,-0.056234711726063806,0.1,1,1,0,0.0,0.0,0.0,0.0,9,0
20008,r0014,0,2945.9041007239175,3134.380710974021,0.06397920767474669,0.1,1,1,1,468.1390216820002,279.6624114318947,188.47661025010547,144.41404800124224,51,23
20008,r0013,0,0.0,0.0,0.03842898268136091,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0003,0,0.0,0.0,0.004301415324286878,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0021,0,0.0,0.0,-0.034252911055783195,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0017,0,0.0,0.0,0.09504618250685906,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20008,r0004,0,0.0,0.0,-0.07424474740475127,0.1,1,0,0,0.0,0.0,0.0,0.0,0,0
20009,r0005,0,4790.8847234872665,4992.007825433959,0.041980367626189785,0.1,1,1,0,0.0,0.0,0.0,0.0,228,0
20009,r0007,0,835.2737140443678,815.5775917319004,-0.023580440736126446,0.1,1,1,1,737.8242124331664,737.8242124331664,0.0,181.4209389185013,39,28
20009,r0017,0,1406.9155032272174,1504.6095178431026,0.06943843776814759,0.1,1,1,1,0.0,0.0,0.0,0.0,65,0
20009,r0017,1,7347.794159179048,6631.370904101318,-0.09750181340923321,0.1,1,1,0,0.0,0.0,0.0,0.0,320,0
20009,r0020,0,1347.9441148815968,1397.675346249311,0.036894134421947,0.1,1,1,1,0.0,0.0,0.0,0.0,58,0
20009,r0015,0,2183.8361135316845,2108.6132441476293,-0.03444529052246763,0.1,1,1,1,0.0,0.0,0.0,0.0,105,0
20009,r0008,0,6072.6284155838075,5986.979869296994,-0.014104032129978211,0.1,1,1,0,0.0,0.0,0.0,0.0,266,0
20010,r0005,0,2623.100525276028,2782.413325276552,0.06073453856053024,0.1,1,1,1,0.0,0.0,0.0,0.0,109,0
20010,r0005,1,8647.407603410313,8745.310250676443,0.011321618195437061,0.1,1,1,0,0.0,0.0,0.0,0.0,401,0
