episode,method,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size,mapping_steps,runtime_seconds
0,gat_dueling_ddqn,-29.289147535420863,884.7856721218019,4248.386179849035,5190.506094580372,24.890625,57.33424260953402,1,4,28,1.5516274700057693
1,gat_dueling_ddqn,-14.945005804369254,548.5771930608637,2396.0566228235434,2986.5046344395596,22.1484375,41.87081855515235,0,5,28,1.3354287139954977
2,gat_dueling_ddqn,-23.665387615406775,623.521645828014,3934.0986868942528,4627.198914884151,18.0,69.57858216188514,0,4,28,1.4206169379758649
3,gat_dueling_ddqn,-55.152741622589744,651.0402054793554,9027.294624054673,9777.408379677861,19.142578125,99.07355014383157,3,3,28,0.533631400030572
4,gat_dueling_ddqn,-114.73013315178497,3993.768648959253,18040.126714045313,22100.461778709476,217.96875,66.56641570491097,8,8,28,0.9062204329529777
5,gat_dueling_ddqn,-79.97158449421265,1857.5753821715284,13194.280656325096,15109.791627285096,88.2421875,57.93558878847269,5,5,28,0.7416211600066163
6,gat_dueling_ddqn,-84.56469477325136,3117.928579982066,11951.110461172488,15112.903995880672,143.15625,43.864954726116764,8,8,28,0.810237207042519
7,gat_dueling_ddqn,-89.40056674863084,2021.68288918703,14701.313703952916,16779.986909794985,86.2353515625,56.99031665503776,5,5,28,0.37014044099487364
8,gat_dueling_ddqn,-46.36557031383664,1539.9394763810296,7498.193027326539,9103.003621672337,67.2890625,64.8711179647664,0,8,28,1.8076239909860305
9,gat_dueling_ddqn,-45.32274121894471,714.4406716365952,8359.016884865438,9129.562307033548,34.59375,56.104750531515364,0,4,28,1.0391504939761944
10,gat_dueling_ddqn,-36.25362503498748,851.4841896507945,6298.92076199892,7243.443827340569,32.2998046875,93.03887569085543,0,5,28,1.1361038640025072
11,gat_dueling_ddqn,-64.02312296655207,1114.0530484245078,11156.88986617251,12313.470068788765,47.34375,42.52715419174693,2,4,28,0.2613197040045634
12,gat_dueling_ddqn,-32.27493495510837,2446.6425341294903,4876.659847032974,7405.536324088339,145.1953125,82.23394292587453,0,8,28,1.7916452650097199
13,gat_dueling_ddqn,-28.41714443041748,1117.177731484251,4721.383150558292,5889.643085271593,93.5625,51.082203229050215,0,8,28,0.6730347870034166
14,gat_dueling_ddqn,-43.10094516857702,692.543227931948,7254.947848510619,8034.897925843789,17.015625,87.40684940122208,1,4,28,0.8253406520234421
15,gat_dueling_ddqn,-72.20726516811911,3102.90005162326,10462.148063321185,13635.588942291208,152.7421875,70.54082734676132,7,8,28,1.0545591650297865
16,gat_dueling_ddqn,-54.49425016165356,897.4532128325266,8436.611186667353,9407.513109382477,5.203125,73.4487098825976,2,3,28,0.5142014030134305
17,gat_dueling_ddqn,-68.65312398987011,2000.649520822134,8813.685431422258,10887.167289332478,79.40625,72.8323370880851,8,8,28,0.8219996769912541
18,gat_dueling_ddqn,-32.60131788970066,943.3988490262939,5404.062183470223,6408.274176850706,23.71875,60.813144354188424,0,4,28,0.9422958419891074
19,gat_dueling_ddqn,-65.69093959228867,1138.649453289537,9765.432417181599,10958.875237880346,35.6484375,54.79336740920928,6,6,28,0.6439190389937721
