episode,method,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size,mapping_steps,runtime_seconds
0,gat_dueling_ddqn,-26.54180963885634,342.975411055441,4596.53749888448,4993.519352723607,12.4453125,54.00644278368635,1,4,28,1.5393757399870083
1,gat_dueling_ddqn,-17.750329971845563,317.7296063596236,3156.0180720765466,3509.0585177499656,7.3828125,35.31083931379558,0,5,28,1.318330789974425
2,gat_dueling_ddqn,-21.700772780308927,602.3946250683775,3532.441932927319,4189.054574911042,16.2421875,54.21801691534507,0,7,28,1.3968607319984585
3,gat_dueling_ddqn,-50.123199606197105,883.1208174436599,7933.915351011765,8906.665512191887,15.9521484375,89.62934373646252,2,3,28,0.5263348980224691
4,gat_dueling_ddqn,-89.35553501099625,2587.8901193107654,13872.908972342067,16534.715103874365,152.578125,73.91601222153135,7,8,28,0.8844456860097125
5,gat_dueling_ddqn,-62.13471129304099,1506.79096201195,9704.531206373023,11272.349783622825,44.12109375,61.02761523785189,4,5,28,0.7274411399848759
6,gat_dueling_ddqn,-109.07030329652413,3817.4817495272887,17370.928134021837,21232.06106125048,214.734375,43.65117770135372,8,8,28,0.8030737760127522
7,gat_dueling_ddqn,-62.554046208268744,1345.8753707562423,9822.276842582189,11222.691498552622,49.27734375,54.53928521419027,4,5,28,0.367837893019896
8,gat_dueling_ddqn,-38.23540873053572,1162.8238955195245,6267.2764492057795,7485.818983672425,23.5546875,55.71863894712119,0,8,28,1.7713389470009133
9,gat_dueling_ddqn,-122.89548607074788,1442.8897338644827,22091.870386562412,23597.505057354836,46.125,62.74493692794248,4,4,28,1.0313356349943206
10,gat_dueling_ddqn,-18.234822618199942,489.92251898767853,2769.4780261392925,3348.9004133792073,6.4599609375,89.4998682522366,0,5,28,1.1229035870055668
11,gat_dueling_ddqn,-316.58387772574025,5258.881869244809,60810.564200456414,66111.52016058494,177.5390625,42.074090883717574,4,4,28,0.2597412819741294
12,gat_dueling_ddqn,-68.93156531632535,961.325243621987,11395.584999533552,12409.359472842245,29.53125,52.4492296867063,4,4,28,1.7614197499933653
13,gat_dueling_ddqn,-84.43496736130743,1788.2901331731618,14010.047201758352,15848.242980838935,70.171875,49.90564590742042,4,8,28,0.6652475270093419
14,gat_dueling_ddqn,-21.582224719416995,246.6020865279096,3888.330308830744,4219.870158042152,4.25390625,84.93776268349815,0,4,28,0.819113333011046
15,gat_dueling_ddqn,-22.083348938218407,226.55377639089605,4113.756589399573,4409.445941948327,14.150390625,69.13557615785822,0,3,28,1.0344788870424964
16,gat_dueling_ddqn,-50.8382034709431,514.6941140231268,8580.086794672803,9161.992014995485,7.8046875,67.21110629955456,2,3,28,0.5075193360098638
17,gat_dueling_ddqn,-19.078385638436288,679.0276900123097,2766.25557546134,3522.5041677087524,11.34375,77.22090223510317,0,8,28,0.8185702579794452
18,gat_dueling_ddqn,-173.65908382343738,4395.535501867569,29849.464704968683,34320.28515045745,185.8125,75.28494362120068,8,8,28,0.929225432977546
19,gat_dueling_ddqn,-82.61987743699297,1373.158271486396,12918.274172270221,14348.749499283522,29.70703125,57.31705552690378,6,6,28,0.6911603269982152
