episode,method,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size,mapping_steps,runtime_seconds
0,gat_dueling_ddqn,-17.71310344973562,343.41476223454185,3149.8436982480644,3547.169685109015,16.59375,53.91122462640881,0,4,28,1.533790034998674
1,gat_dueling_ddqn,-25.233474898591606,1104.1463969550164,4012.2941260113453,5155.963934866564,51.6796875,39.52341190020208,0,5,28,1.3157065539853647
2,gat_dueling_ddqn,-30.91474519866914,911.5163321514792,4825.3040407813805,5806.072160442704,24.0,69.25178750984469,0,4,28,1.394356112985406
3,gat_dueling_ddqn,-47.085546932915925,730.3971023134467,7487.664158082258,8307.674599245562,9.5712890625,89.61333884985618,2,3,28,0.5241295340238139
4,gat_dueling_ddqn,-43.62296770270496,1994.7897887931317,7112.0367587614255,9175.563865187816,87.1875,68.7373176332588,0,8,28,0.8845777700189501
5,gat_dueling_ddqn,-82.66637378224199,2252.9582587197483,13327.170701517574,15638.629410103295,102.94921875,58.50044986597222,5,5,28,0.7287382839713246
6,gat_dueling_ddqn,-85.2705080248044,2975.5610219608348,12577.945222991017,15596.393248069815,190.875,42.88700311796329,8,8,28,0.8027217640192248
7,gat_dueling_ddqn,-73.0351498540166,1753.9671202078282,11872.83470363183,13682.767506362727,73.916015625,55.96568252306889,4,5,28,0.36755434900987893
8,gat_dueling_ddqn,-46.36557031383664,1539.9394763810296,7498.193027326539,9103.003621672337,67.2890625,64.8711179647664,0,8,28,1.7617627889849246
9,gat_dueling_ddqn,-78.95404580867111,987.8017291277788,13512.637049762054,14557.262406060741,46.125,56.82362717090813,4,4,28,1.0261546169640496
10,gat_dueling_ddqn,-19.833413889395857,716.0442255616992,3224.549969367991,4031.770268135703,32.2998046875,91.17607320601287,0,5,28,1.1259893639944494
11,gat_dueling_ddqn,-57.42325477100454,1116.6090267665836,10752.045764786319,11910.795546115669,47.34375,42.14075456276667,0,4,28,0.2577892540139146
12,gat_dueling_ddqn,-30.19236630287397,2150.673093283122,4149.484242256248,6379.094917413463,145.1953125,78.93758187409244,0,8,28,1.7645104610128328
13,gat_dueling_ddqn,-32.79605687005632,1217.7824319365413,5397.616195331555,6665.650851622108,93.5625,50.25222435401265,0,8,28,0.6657094350084662
14,gat_dueling_ddqn,-51.06782392549973,848.3396083039061,8701.475978698958,9636.53387953748,25.5234375,86.71829253461559,1,4,28,0.8131019230349921
15,gat_dueling_ddqn,-22.92037495323769,237.78799685012348,4258.693351484975,4565.616924492957,14.150390625,69.13557615785822,0,3,28,1.0287606340134516
16,gat_dueling_ddqn,-50.927931504531756,513.0869113508393,8609.66081286307,9190.287023384857,9.10546875,67.53929917094679,2,3,28,0.5075025359983556
17,gat_dueling_ddqn,-60.29744877488244,1522.6194614125047,8029.755189759368,9619.968626898215,56.71875,67.59397572634161,7,8,28,0.8114024680107832
18,gat_dueling_ddqn,-40.15176860734685,976.7340062462846,6344.325386091322,7377.119135223092,35.578125,56.05974288548559,1,4,28,0.9275997700169683
19,gat_dueling_ddqn,-69.61547533646896,1206.6719511620133,10332.233109998255,11598.798893237026,41.58984375,59.893832076757576,6,6,28,0.6517227750155143
