seed,episode,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size
29,800,-31.784534596667083,742.1962533762091,5230.270550641883,6035.731729587975,17.148779296875,63.2649255698827,0.6,5.7
17,100,-38.19594288441276,899.6092827640916,6308.906468585046,7270.152180103071,26.9625,61.63642875393352,1.1,5.75
29,700,-39.74601781983857,945.9566457693885,6376.348216137065,7385.584223449085,26.386962890625,63.27936154263098,1.55,5.95
7,900,-41.21113849435296,970.8024340974625,6688.929869516032,7722.626938987223,25.75576171875,62.89463537372783,1.65,5.95
29,500,-47.580413476337355,1213.2067974161243,7696.103933773967,8973.383926178316,59.980224609375,64.07319498822616,2.0,5.35
29,400,-48.30437004507431,1255.0420350859226,7758.788174387577,9077.306825159058,58.5626953125,63.47661568555698,2.0,5.35
7,1100,-48.2364394280032,1020.3336155904415,7865.45629868797,8949.49231508923,28.271923828125,63.70240081081944,2.1,5.7
17,900,-46.65527996534338,1176.6062736975805,7513.665022360428,8754.425874061344,41.761669921875,64.15457800333269,2.2,5.95
29,1000,-55.16918765907659,1160.703651192842,9076.191668860487,10300.589334084787,42.1974609375,63.69401403145838,2.7,5.7
29,600,-53.99888640077184,1277.895557852654,8675.500890625808,10017.646456128608,57.15380859375,64.25000765014836,2.75,5.55
17,700,-50.933075495178095,1253.8648136513698,8078.611736459609,9395.998232113057,38.4708984375,63.521682002077,2.8,5.95
17,300,-54.377576326444114,1308.0330265508671,8594.015559214951,9967.313191286969,53.206201171875,65.26460552114978,2.8,5.55
17,600,-54.05621213178612,1512.9106092011139,8527.030915882262,10105.086912551416,67.69013671875,65.1453874680407,2.8,5.6
17,500,-53.74847815222499,1462.163921731038,8444.252079994307,9970.725674838279,67.250244140625,64.30967311293348,2.85,5.6
7,100,-57.075566358583295,1557.162607199008,9101.661998668093,10722.8244935142,66.079248046875,63.999887647098845,2.9,5.4
29,100,-72.920397982817,1497.19817481266,12472.527370973918,14032.215470299252,55.959375,62.48992451267399,2.9,5.5
7,200,-54.188499291463394,1415.5677402715305,8528.033601745383,10007.247664884342,64.82724609375,63.64632286742856,3.0,5.4
17,1000,-55.86235744372264,1254.0240024044338,8846.451373662301,10163.73494170504,43.6470703125,63.259565638302774,3.3,5.75
17,400,-59.14083416254836,1557.0346940049553,9268.920022221077,10890.995285472905,71.74482421875,65.04056924687472,3.4,5.8
17,1100,-59.20722775890164,1407.7570322541944,9468.406227430585,10940.182723941212,57.4728515625,64.01946425643426,3.4,5.95
29,1100,-60.22733319407098,1268.0321549575622,9704.295977901274,11035.571590883901,42.160693359375,63.24345802506326,3.4,5.7
29,200,-61.8926083410867,1292.5588546335157,9969.278082430808,11325.304662224353,47.638916015625,63.46772516002816,3.4,5.7
29,900,-60.57539866484856,1317.0962164120376,9776.830506415721,11158.04267296776,54.5033203125,64.11595013999727,3.45,5.7
7,400,-60.06757971193531,1567.2563131993568,9522.156480414087,11154.200035372478,73.73056640625,64.78724175903491,3.5,5.8
7,300,-59.74767036783879,1573.0608326240038,9385.35533112596,11023.336395771905,71.73662109375,64.92023202194227,3.6,5.8
7,500,-60.365404226145856,1407.345653397425,9577.837256286357,11050.811091113286,62.876953125,65.62818142950395,3.6,5.55
29,300,-61.54739070278822,1321.4135289422318,9815.261196318368,11199.852476874334,52.49736328125,63.177751613732156,3.6,5.55
17,1200,-62.18426171557214,1382.7366474328287,9933.129033004365,11378.928467889378,49.142578125,63.062787452185376,3.6,5.95
7,600,-60.08787180786468,1523.2627380065194,9446.371799767916,11034.312648631478,68.647705078125,64.67811085704341,3.65,5.8
7,700,-60.7430275311781,1447.2276943809725,9626.732282009885,11138.798718047981,62.239892578125,64.83874165712201,3.75,5.8
29,1200,-63.013901402032765,1342.9977881139864,10113.243582961173,11520.238775427395,52.920556640625,63.997404352234454,3.9,5.7
17,200,-64.26026748790699,1550.5622739270998,10124.212652849901,11737.713000856555,67.315869140625,62.93807407955656,3.95,5.75
17,800,-61.87242212562652,1434.9445663751874,9759.931763140903,11257.964399524732,58.22138671875,63.08807000864415,4.0,5.75
7,1200,-63.92913801077161,1333.4770983793685,10191.273501688142,11587.530161062516,50.79697265625,62.779560995003166,4.1,5.95
7,800,-66.38676654206577,1423.3601800446106,10704.838210573314,12192.543035478066,55.566064453125,64.34464486013687,4.1,5.95
7,1000,-71.32883146593826,1512.2622777370946,11459.590941121536,13036.015748965945,60.392578125,64.16253010731393,4.6,5.95
