mode,component,avg_e2e_ms,gain_vs_keep_pct,incremental_gain_pct,p95_gain_vs_keep_pct,slo,slo_gain_vs_keep_pp
stationary,Keep,11921.862342647111,0.0,0.0,0.0,0.4633333333333332,0.0
stationary,Reactive,11921.862342647111,0.0,0.0,0.0,0.4633333333333332,0.0
stationary,Reactive + Predictive,11921.862342647111,0.0,0.0,0.0,0.4633333333333332,0.0
walking,Keep,11923.273032171392,0.0,0.0,0.0,0.4633333333333332,0.0
walking,Reactive,11823.081162958137,0.8403050818589719,0.8403050818589719,1.667583415291818,0.4633333333333332,0.0
walking,Reactive + Predictive,11810.004137022306,0.949981559958113,0.1106059051408814,1.9398537191301912,0.4633333333333332,0.0
driving,Keep,11981.329039440672,0.0,0.0,0.0,0.46,0.0
driving,Reactive,11460.478915861717,4.34718153440572,4.34718153440572,5.11977550527557,0.4699999999999999,0.9999999999999898
driving,Reactive + Predictive,11401.283383010315,4.841246363579,0.5165188408441823,5.490451855010658,0.4733333333333333,1.3333333333333253
high_speed,Keep,11935.011238649618,0.0,0.0,0.0,0.4641666666666666,0.0
high_speed,Reactive,10856.601243030804,9.035684793714791,9.035684793714791,10.07467921870202,0.4916666666666666,2.749999999999997
high_speed,Reactive + Predictive,10685.5661792512,10.468738021396174,1.5754015455748285,11.003285811168327,0.4958333333333333,3.166666666666668
