mode,keep_avg_ms,reactive_avg_ms,predictive_avg_ms,reactive_gain_pct,reactive_ci_low_ms,reactive_ci_high_ms,prefetch_extra_pct,extra_ci_low_ms,extra_ci_high_ms,total_gain_pct,total_ci_low_ms,total_ci_high_ms,reactive_p95_gain_pct,predictive_p95_gain_pct,keep_slo,reactive_slo,predictive_slo,total_slo_gain_pp,goodput_gain_pct,keep_handover,reactive_handover,predictive_handover,reactive_migration_mb,predictive_actual_mb,traffic_overhead_pct,prefetch_waste_pct
stationary,11921.862342647111,11921.862342647111,11921.862342647111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4633333333333332,0.4633333333333332,0.4633333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking,11923.273032171392,11823.081162958137,11810.004137022306,0.8403050818589719,-3.764645951060672,204.14838437757032,0.1106059051408814,2.71906610483669,23.434985766824667,0.949981559958113,2.388746991928869,224.1490433062421,1.667583415291818,1.9398537191301912,0.4633333333333332,0.4633333333333332,0.4633333333333332,0.0,0.0498872080070489,0.31,0.29,0.29,17.2503515625,19.222308596550636,11.431402003060676,35.812799910369684
driving,11981.329039440672,11460.478915861717,11401.283383010315,4.34718153440572,44.78482708086426,996.9154200770464,0.5165188408441823,-10.215271984407408,128.60633768721,4.841246363579,105.0790758774391,1055.012236983274,5.11977550527557,5.490451855010658,0.46,0.4699999999999999,0.4733333333333333,1.3333333333333253,3.0744627100835142,2.69,2.57,2.58,48.6106640625,54.31358065985011,11.731822033983574,28.746893897864307
high_speed,11935.011238649618,10856.601243030804,10685.5661792512,9.035684793714791,487.9921045595136,1668.827886678114,1.5754015455748285,48.80285397053777,293.2672735886748,10.468738021396174,625.4633761441479,1873.4267426526928,10.07467921870202,11.003285811168327,0.4641666666666666,0.4916666666666666,0.4958333333333333,3.166666666666668,8.199497700757409,9.9,9.27,9.05,125.928984375,124.83283397401826,-0.8704512360057981,19.829870936743728
