timestamp,input_tokens,output_tokens,request_type,source
2023-11-16 18:20:15.638906+00:00,164,18,code,azure_2023
2023-11-16 18:20:15.639875+00:00,584,24,code,azure_2023
2023-11-16 18:20:16.142101+00:00,523,9,code,azure_2023
2023-11-16 18:20:16.334642+00:00,61,9,code,azure_2023
2023-11-16 18:20:16.335764+00:00,1724,11,code,azure_2023
2023-11-16 18:20:16.343901+00:00,1891,16,code,azure_2023
2023-11-16 18:20:16.343924+00:00,2507,6,code,azure_2023
2023-11-16 18:20:16.437859+00:00,2147,22,code,azure_2023
2023-11-16 18:20:16.437949+00:00,3066,6,code,azure_2023
2023-11-16 18:20:16.440499+00:00,118,9,code,azure_2023
2023-11-16 18:20:16.440549+00:00,2657,11,code,azure_2023
2023-11-16 18:20:16.441681+00:00,4556,25,code,azure_2023
2023-11-16 18:20:16.540824+00:00,5926,121,code,azure_2023
2023-11-16 18:20:16.543019+00:00,7435,6,code,azure_2023
2023-11-16 18:20:16.635158+00:00,149,20,code,azure_2023
2023-11-16 18:20:19.242588+00:00,3658,6,code,azure_2023
2023-11-16 18:20:19.341918+00:00,3397,7,code,azure_2023
2023-11-16 18:20:19.342058+00:00,5927,21,code,azure_2023
2023-11-16 18:20:19.343120+00:00,1894,7,code,azure_2023
2023-11-16 18:20:19.434143+00:00,2647,6,code,azure_2023
2023-11-16 18:20:19.442919+00:00,169,25,code,azure_2023
2023-11-16 18:20:19.539840+00:00,138,29,code,azure_2023
2023-11-16 18:20:19.636287+00:00,5928,6,code,azure_2023
2023-11-16 18:20:19.639126+00:00,154,7,code,azure_2023
2023-11-16 18:20:19.640459+00:00,1107,13,code,azure_2023
2023-11-16 18:20:19.739314+00:00,1894,19,code,azure_2023
2023-11-16 18:20:19.938989+00:00,2647,12,code,azure_2023
2023-11-16 18:20:19.940484+00:00,1182,18,code,azure_2023
2023-11-16 18:20:19.942179+00:00,1650,11,code,azure_2023
2023-11-16 18:20:20.034090+00:00,5538,697,code,azure_2023
2023-11-16 18:20:20.035275+00:00,526,7,code,azure_2023
2023-11-16 18:20:20.236041+00:00,152,15,code,azure_2023
2023-11-16 18:20:20.239732+00:00,4566,20,code,azure_2023
2023-11-16 18:20:20.337592+00:00,7419,6,code,azure_2023
2023-11-16 18:20:20.341403+00:00,46,25,code,azure_2023
2023-11-16 18:20:20.342405+00:00,2862,13,code,azure_2023
2023-11-16 18:20:20.434132+00:00,1724,32,code,azure_2023
2023-11-16 18:20:20.537140+00:00,1724,16,code,azure_2023
2023-11-16 18:20:20.541578+00:00,155,30,code,azure_2023
2023-11-16 18:20:20.634551+00:00,81,15,code,azure_2023
2023-11-16 18:20:20.638626+00:00,1650,13,code,azure_2023
2023-11-16 18:20:20.639373+00:00,1364,9,code,azure_2023
2023-11-16 18:20:20.639587+00:00,1908,22,code,azure_2023
2023-11-16 18:20:20.641558+00:00,123,15,code,azure_2023
2023-11-16 18:20:20.642435+00:00,81,7,code,azure_2023
2023-11-16 18:20:20.734292+00:00,1724,15,code,azure_2023
2023-11-16 18:20:20.740385+00:00,247,84,code,azure_2023
2023-11-16 18:20:20.745687+00:00,3854,10,code,azure_2023
2023-11-16 18:20:20.746886+00:00,83,6,code,azure_2023
2023-11-16 18:20:20.842265+00:00,156,21,code,azure_2023
2023-11-16 18:20:20.842314+00:00,247,71,code,azure_2023
2023-11-16 18:20:20.937333+00:00,3066,12,code,azure_2023
2023-11-16 18:20:20.937432+00:00,3517,11,code,azure_2023
2023-11-16 18:20:20.938896+00:00,2081,6,code,azure_2023
2023-11-16 18:20:20.941590+00:00,143,12,code,azure_2023
2023-11-16 18:20:21.040164+00:00,2649,20,code,azure_2023
2023-11-16 18:20:21.137625+00:00,2655,9,code,azure_2023
2023-11-16 18:20:21.237348+00:00,1724,18,code,azure_2023
2023-11-16 18:20:21.242319+00:00,2128,13,code,azure_2023
2023-11-16 18:20:21.337391+00:00,3067,9,code,azure_2023
2023-11-16 18:20:21.341376+00:00,2926,12,code,azure_2023
2023-11-16 18:20:21.440257+00:00,1900,46,code,azure_2023
2023-11-16 18:20:21.440538+00:00,2047,106,code,azure_2023
2023-11-16 18:20:21.441629+00:00,5923,55,code,azure_2023
2023-11-16 18:20:21.540774+00:00,2971,9,code,azure_2023
2023-11-16 18:20:21.541583+00:00,2156,13,code,azure_2023
2023-11-16 18:20:21.640294+00:00,573,6,code,azure_2023
2023-11-16 18:20:21.641802+00:00,14,10,code,azure_2023
2023-11-16 18:20:21.642912+00:00,232,6,code,azure_2023
2023-11-16 18:20:21.646726+00:00,3284,7,code,azure_2023
2023-11-16 18:20:21.737754+00:00,1364,9,code,azure_2023
2023-11-16 18:20:21.739276+00:00,161,16,code,azure_2023
2023-11-16 18:20:21.742404+00:00,316,23,code,azure_2023
2023-11-16 18:20:21.936019+00:00,2084,16,code,azure_2023
2023-11-16 18:20:21.938529+00:00,2068,11,code,azure_2023
2023-11-16 18:20:21.942719+00:00,1180,39,code,azure_2023
2023-11-16 18:20:22.236698+00:00,2654,17,code,azure_2023
2023-11-16 18:20:22.241195+00:00,146,16,code,azure_2023
2023-11-16 18:20:22.340570+00:00,318,11,code,azure_2023
2023-11-16 18:20:22.342473+00:00,3288,10,code,azure_2023
2023-11-16 18:20:22.438495+00:00,252,17,code,azure_2023
2023-11-16 18:20:22.439675+00:00,35,14,code,azure_2023
2023-11-16 18:20:22.536902+00:00,337,13,code,azure_2023
2023-11-16 18:20:22.536965+00:00,109,6,code,azure_2023
2023-11-16 18:20:22.539574+00:00,148,43,code,azure_2023
2023-11-16 18:20:22.540791+00:00,985,27,code,azure_2023
2023-11-16 18:20:22.543049+00:00,2136,8,code,azure_2023
2023-11-16 18:20:22.546745+00:00,2657,7,code,azure_2023
2023-11-16 18:20:22.741295+00:00,3289,15,code,azure_2023
2023-11-16 18:20:22.743109+00:00,2136,12,code,azure_2023
2023-11-16 18:20:22.837227+00:00,135,6,code,azure_2023
2023-11-16 18:20:22.840695+00:00,181,105,code,azure_2023
2023-11-16 18:20:22.934234+00:00,3399,10,code,azure_2023
2023-11-16 18:20:22.939591+00:00,1067,9,code,azure_2023
2023-11-16 18:20:22.940609+00:00,5831,11,code,azure_2023
2023-11-16 18:20:22.940801+00:00,153,15,code,azure_2023
2023-11-16 18:20:22.943852+00:00,527,7,code,azure_2023
2023-11-16 18:20:22.945877+00:00,1905,17,code,azure_2023
2023-11-16 18:20:22.957236+00:00,1293,25,code,azure_2023
2023-11-16 18:20:23.037918+00:00,1180,6,code,azure_2023
2023-11-16 18:20:23.037980+00:00,61,21,code,azure_2023
2023-11-16 18:20:23.053339+00:00,1278,9,code,azure_2023
2023-11-16 18:20:23.069545+00:00,65,10,code,azure_2023
2023-11-16 18:20:23.153432+00:00,217,9,code,azure_2023
2023-11-16 18:20:23.236430+00:00,287,9,code,azure_2023
2023-11-16 18:20:23.236486+00:00,3064,15,code,azure_2023
2023-11-16 18:20:23.236567+00:00,116,10,code,azure_2023
2023-11-16 18:20:23.239121+00:00,1638,9,code,azure_2023
2023-11-16 18:20:23.239205+00:00,3396,7,code,azure_2023
2023-11-16 18:20:23.353473+00:00,2077,15,code,azure_2023
2023-11-16 18:20:23.353562+00:00,4629,6,code,azure_2023
2023-11-16 18:20:23.353626+00:00,1084,6,code,azure_2023
2023-11-16 18:20:23.354771+00:00,1259,8,code,azure_2023
2023-11-16 18:20:23.457369+00:00,7332,26,code,azure_2023
2023-11-16 18:20:23.460722+00:00,4081,29,code,azure_2023
2023-11-16 18:20:23.655707+00:00,1137,58,code,azure_2023
2023-11-16 18:20:23.739355+00:00,1430,12,code,azure_2023
2023-11-16 18:20:23.754331+00:00,596,6,code,azure_2023
2023-11-16 18:20:23.835309+00:00,174,18,code,azure_2023
2023-11-16 18:20:23.841667+00:00,2969,25,code,azure_2023
2023-11-16 18:20:23.843953+00:00,2157,7,code,azure_2023
2023-11-16 18:20:23.855410+00:00,596,67,code,azure_2023
2023-11-16 18:20:23.934439+00:00,175,18,code,azure_2023
2023-11-16 18:20:23.940444+00:00,108,11,code,azure_2023
2023-11-16 18:20:23.941466+00:00,161,11,code,azure_2023
2023-11-16 18:20:23.941489+00:00,3399,19,code,azure_2023
2023-11-16 18:20:23.955959+00:00,1278,9,code,azure_2023
2023-11-16 18:20:24.053202+00:00,296,6,code,azure_2023
2023-11-16 18:20:24.061831+00:00,4629,6,code,azure_2023
2023-11-16 18:20:24.062283+00:00,842,7,code,azure_2023
2023-11-16 18:20:24.354964+00:00,220,6,code,azure_2023
2023-11-16 18:20:24.354970+00:00,4771,16,code,azure_2023
2023-11-16 18:20:24.553217+00:00,1059,9,code,azure_2023
2023-11-16 18:20:24.553278+00:00,1087,6,code,azure_2023
2023-11-16 18:20:24.655094+00:00,14,9,code,azure_2023
2023-11-16 18:20:24.755776+00:00,1326,6,code,azure_2023
2023-11-16 18:20:24.955657+00:00,627,48,code,azure_2023
2023-11-16 18:20:24.959932+00:00,4769,9,code,azure_2023
2023-11-16 18:20:25.153150+00:00,1326,6,code,azure_2023
2023-11-16 18:20:25.665270+00:00,1195,9,code,azure_2023
2023-11-16 18:20:25.757860+00:00,40,16,code,azure_2023
2023-11-16 18:20:25.855128+00:00,2187,13,code,azure_2023
2023-11-16 18:20:25.855140+00:00,4083,41,code,azure_2023
2023-11-16 18:20:25.986263+00:00,846,12,code,azure_2023
2023-11-16 18:20:26.091315+00:00,1260,19,code,azure_2023
2023-11-16 18:20:26.114473+00:00,1197,6,code,azure_2023
2023-11-16 18:20:26.253218+00:00,7435,13,code,azure_2023
2023-11-16 18:20:26.256967+00:00,6051,13,code,azure_2023
2023-11-16 18:20:26.753147+00:00,1196,18,code,azure_2023
2023-11-16 18:20:27.186611+00:00,847,32,code,azure_2023
2023-11-16 18:20:27.215450+00:00,7436,11,code,azure_2023
2023-11-16 18:20:27.553267+00:00,1257,9,code,azure_2023
2023-11-16 18:20:27.657075+00:00,4770,39,code,azure_2023
2023-11-16 18:20:27.898849+00:00,847,26,code,azure_2023
2023-11-16 18:20:28.340828+00:00,848,8,code,azure_2023
2023-11-16 18:20:28.553912+00:00,694,155,code,azure_2023
2023-11-16 18:20:28.754444+00:00,7435,13,code,azure_2023
2023-11-16 18:20:28.779479+00:00,847,8,code,azure_2023
2023-11-16 18:20:28.787361+00:00,1748,15,code,azure_2023
2023-11-16 18:20:28.982887+00:00,7335,11,code,azure_2023
2023-11-16 18:20:29.155409+00:00,4803,13,code,azure_2023
2023-11-16 18:20:29.156484+00:00,1200,6,code,azure_2023
2023-11-16 18:20:29.453139+00:00,694,16,code,azure_2023
2023-11-16 18:20:29.455145+00:00,1490,6,code,azure_2023
2023-11-16 18:20:29.459601+00:00,6054,6,code,azure_2023
2023-11-16 18:20:29.555027+00:00,847,13,code,azure_2023
2023-11-16 18:20:29.657157+00:00,1201,12,code,azure_2023
2023-11-16 18:20:37.725180+00:00,1141,22,code,azure_2023
2023-11-16 18:20:37.821086+00:00,377,11,code,azure_2023
2023-11-16 18:20:37.923654+00:00,7421,13,code,azure_2023
2023-11-16 18:20:38.015699+00:00,389,12,code,azure_2023
2023-11-16 18:20:38.020684+00:00,1144,10,code,azure_2023
