timestamp,input_tokens,output_tokens,request_type,source
2023-11-16 18:15:46.680590+00:00,374,44,conversation,azure_2023
2023-11-16 18:15:50.995169+00:00,396,109,conversation,azure_2023
2023-11-16 18:15:51.222467+00:00,879,55,conversation,azure_2023
2023-11-16 18:15:51.391017+00:00,91,16,conversation,azure_2023
2023-11-16 18:15:52.573245+00:00,91,16,conversation,azure_2023
2023-11-16 18:15:52.992119+00:00,381,84,conversation,azure_2023
2023-11-16 18:15:54.426087+00:00,1313,142,conversation,azure_2023
2023-11-16 18:15:54.932021+00:00,388,84,conversation,azure_2023
2023-11-16 18:15:55.017669+00:00,242,14,conversation,azure_2023
2023-11-16 18:15:55.145575+00:00,209,152,conversation,azure_2023
2023-11-16 18:15:55.380803+00:00,394,124,conversation,azure_2023
2023-11-16 18:15:56.108058+00:00,394,59,conversation,azure_2023
2023-11-16 18:15:56.263148+00:00,1315,174,conversation,azure_2023
2023-11-16 18:15:56.786969+00:00,2221,15,conversation,azure_2023
2023-11-16 18:15:57.226716+00:00,389,90,conversation,azure_2023
2023-11-16 18:15:57.838501+00:00,415,106,conversation,azure_2023
2023-11-16 18:15:58.111494+00:00,120,12,conversation,azure_2023
2023-11-16 18:15:58.517223+00:00,369,74,conversation,azure_2023
2023-11-16 18:15:59.567135+00:00,206,162,conversation,azure_2023
2023-11-16 18:15:59.705678+00:00,1353,142,conversation,azure_2023
2023-11-16 18:15:59.730433+00:00,197,152,conversation,azure_2023
2023-11-16 18:16:00.740140+00:00,181,154,conversation,azure_2023
2023-11-16 18:16:00.778370+00:00,388,54,conversation,azure_2023
2023-11-16 18:16:00.973899+00:00,4085,62,conversation,azure_2023
2023-11-16 18:16:04.101508+00:00,2584,170,conversation,azure_2023
2023-11-16 18:16:04.473528+00:00,203,147,conversation,azure_2023
2023-11-16 18:16:04.841103+00:00,126,194,conversation,azure_2023
2023-11-16 18:16:05.144482+00:00,389,87,conversation,azure_2023
2023-11-16 18:16:05.660029+00:00,2548,116,conversation,azure_2023
2023-11-16 18:16:06.594517+00:00,91,16,conversation,azure_2023
2023-11-16 18:16:06.625787+00:00,4081,74,conversation,azure_2023
2023-11-16 18:16:07.159531+00:00,181,123,conversation,azure_2023
2023-11-16 18:16:07.338943+00:00,191,217,conversation,azure_2023
2023-11-16 18:16:07.622506+00:00,27,183,conversation,azure_2023
2023-11-16 18:16:08.050655+00:00,203,217,conversation,azure_2023
2023-11-16 18:16:08.055677+00:00,398,81,conversation,azure_2023
2023-11-16 18:16:09.393462+00:00,126,172,conversation,azure_2023
2023-11-16 18:16:09.675446+00:00,209,181,conversation,azure_2023
2023-11-16 18:16:10.051993+00:00,209,181,conversation,azure_2023
2023-11-16 18:16:10.826886+00:00,28,175,conversation,azure_2023
2023-11-16 18:16:11.448975+00:00,437,88,conversation,azure_2023
2023-11-16 18:16:11.575551+00:00,181,104,conversation,azure_2023
2023-11-16 18:16:11.762012+00:00,203,138,conversation,azure_2023
2023-11-16 18:16:11.903969+00:00,200,177,conversation,azure_2023
2023-11-16 18:16:11.930430+00:00,4073,58,conversation,azure_2023
2023-11-16 18:16:12.004844+00:00,91,16,conversation,azure_2023
2023-11-16 18:16:12.597697+00:00,1087,401,conversation,azure_2023
2023-11-16 18:16:12.935068+00:00,382,64,conversation,azure_2023
2023-11-16 18:16:13.087647+00:00,412,102,conversation,azure_2023
2023-11-16 18:16:13.141734+00:00,194,217,conversation,azure_2023
2023-11-16 18:16:14.010856+00:00,203,217,conversation,azure_2023
2023-11-16 18:16:14.233119+00:00,200,217,conversation,azure_2023
2023-11-16 18:16:14.770824+00:00,64,174,conversation,azure_2023
2023-11-16 18:16:15.033947+00:00,458,123,conversation,azure_2023
2023-11-16 18:16:15.259125+00:00,1352,158,conversation,azure_2023
2023-11-16 18:16:15.288362+00:00,874,404,conversation,azure_2023
2023-11-16 18:16:15.444969+00:00,378,58,conversation,azure_2023
2023-11-16 18:16:16.020878+00:00,91,16,conversation,azure_2023
2023-11-16 18:16:16.366668+00:00,4074,50,conversation,azure_2023
2023-11-16 18:16:16.862089+00:00,389,89,conversation,azure_2023
2023-11-16 18:16:17.949761+00:00,212,183,conversation,azure_2023
2023-11-16 18:16:18.301080+00:00,1085,394,conversation,azure_2023
2023-11-16 18:16:18.440819+00:00,407,131,conversation,azure_2023
2023-11-16 18:16:18.597593+00:00,396,82,conversation,azure_2023
2023-11-16 18:16:19.069095+00:00,1029,399,conversation,azure_2023
2023-11-16 18:16:19.916472+00:00,962,399,conversation,azure_2023
2023-11-16 18:16:20.094118+00:00,203,217,conversation,azure_2023
2023-11-16 18:16:20.171591+00:00,898,94,conversation,azure_2023
2023-11-16 18:16:20.207360+00:00,181,253,conversation,azure_2023
2023-11-16 18:16:20.326303+00:00,320,18,conversation,azure_2023
2023-11-16 18:16:20.429292+00:00,1119,414,conversation,azure_2023
2023-11-16 18:16:20.505590+00:00,124,157,conversation,azure_2023
2023-11-16 18:16:20.613119+00:00,1313,179,conversation,azure_2023
2023-11-16 18:16:21.427036+00:00,1096,383,conversation,azure_2023
2023-11-16 18:16:21.974659+00:00,400,102,conversation,azure_2023
2023-11-16 18:16:22.819102+00:00,1057,424,conversation,azure_2023
2023-11-16 18:16:23.201007+00:00,203,162,conversation,azure_2023
2023-11-16 18:16:23.545329+00:00,1314,216,conversation,azure_2023
2023-11-16 18:16:23.805396+00:00,2,93,conversation,azure_2023
2023-11-16 18:16:24.156555+00:00,1065,409,conversation,azure_2023
2023-11-16 18:16:24.835520+00:00,372,60,conversation,azure_2023
2023-11-16 18:16:25.073232+00:00,4094,82,conversation,azure_2023
2023-11-16 18:16:25.229634+00:00,1104,394,conversation,azure_2023
2023-11-16 18:16:25.493922+00:00,1075,415,conversation,azure_2023
2023-11-16 18:16:25.772505+00:00,4088,37,conversation,azure_2023
2023-11-16 18:16:25.901174+00:00,1225,372,conversation,azure_2023
2023-11-16 18:16:26.004717+00:00,1118,426,conversation,azure_2023
2023-11-16 18:16:26.318354+00:00,380,102,conversation,azure_2023
2023-11-16 18:16:26.325781+00:00,1133,385,conversation,azure_2023
2023-11-16 18:16:26.722457+00:00,42,167,conversation,azure_2023
2023-11-16 18:16:27.031224+00:00,2590,50,conversation,azure_2023
2023-11-16 18:16:27.159754+00:00,1140,377,conversation,azure_2023
2023-11-16 18:16:27.806463+00:00,126,203,conversation,azure_2023
2023-11-16 18:16:28.037981+00:00,431,84,conversation,azure_2023
2023-11-16 18:16:29.014645+00:00,1115,421,conversation,azure_2023
2023-11-16 18:16:29.210283+00:00,206,179,conversation,azure_2023
2023-11-16 18:16:29.211215+00:00,400,91,conversation,azure_2023
2023-11-16 18:16:29.225853+00:00,1123,396,conversation,azure_2023
2023-11-16 18:16:29.244410+00:00,862,379,conversation,azure_2023
2023-11-16 18:16:29.365813+00:00,859,422,conversation,azure_2023
2023-11-16 18:16:29.371828+00:00,890,402,conversation,azure_2023
2023-11-16 18:16:29.395890+00:00,1192,419,conversation,azure_2023
2023-11-16 18:16:29.489163+00:00,899,403,conversation,azure_2023
2023-11-16 18:16:29.680337+00:00,163,224,conversation,azure_2023
2023-11-16 18:16:29.874051+00:00,181,212,conversation,azure_2023
2023-11-16 18:16:30.269645+00:00,416,88,conversation,azure_2023
2023-11-16 18:16:30.290500+00:00,1163,426,conversation,azure_2023
2023-11-16 18:16:30.471714+00:00,243,14,conversation,azure_2023
2023-11-16 18:16:30.574016+00:00,1041,428,conversation,azure_2023
2023-11-16 18:16:30.603661+00:00,1350,146,conversation,azure_2023
2023-11-16 18:16:30.721331+00:00,1104,396,conversation,azure_2023
2023-11-16 18:16:30.741911+00:00,1127,426,conversation,azure_2023
2023-11-16 18:16:31.508669+00:00,1114,414,conversation,azure_2023
2023-11-16 18:16:31.690347+00:00,1083,396,conversation,azure_2023
2023-11-16 18:16:31.706103+00:00,1313,173,conversation,azure_2023
2023-11-16 18:16:31.785536+00:00,888,395,conversation,azure_2023
2023-11-16 18:16:31.800957+00:00,13,130,conversation,azure_2023
2023-11-16 18:16:31.855547+00:00,874,89,conversation,azure_2023
2023-11-16 18:16:31.927442+00:00,1065,395,conversation,azure_2023
2023-11-16 18:16:32.183342+00:00,1157,426,conversation,azure_2023
2023-11-16 18:16:32.210832+00:00,1077,390,conversation,azure_2023
2023-11-16 18:16:32.661412+00:00,2903,59,conversation,azure_2023
2023-11-16 18:16:32.782911+00:00,4079,27,conversation,azure_2023
2023-11-16 18:16:32.871029+00:00,1149,411,conversation,azure_2023
2023-11-16 18:16:32.910665+00:00,996,389,conversation,azure_2023
2023-11-16 18:16:33.087149+00:00,990,394,conversation,azure_2023
2023-11-16 18:16:33.307279+00:00,197,183,conversation,azure_2023
2023-11-16 18:16:33.358734+00:00,4107,49,conversation,azure_2023
2023-11-16 18:16:33.890315+00:00,197,217,conversation,azure_2023
2023-11-16 18:16:34.140530+00:00,1378,407,conversation,azure_2023
2023-11-16 18:16:34.414652+00:00,1214,421,conversation,azure_2023
2023-11-16 18:16:34.605892+00:00,1016,375,conversation,azure_2023
2023-11-16 18:16:34.713581+00:00,1186,398,conversation,azure_2023
2023-11-16 18:16:34.726119+00:00,4076,60,conversation,azure_2023
2023-11-16 18:16:34.815198+00:00,1100,426,conversation,azure_2023
2023-11-16 18:16:34.976965+00:00,218,217,conversation,azure_2023
