mode,best_baseline,best_baseline_avg_ms,ours_avg_ms,ours_avg_gain_pct,best_baseline_p95_ms,ours_p95_ms,ours_p95_gain_pct,slo_gain_pp,goodput_gain_pct
stationary,Node-DP,11921.862342647113,15740.858234968435,-32.03355132410761,22281.853072849473,30108.749858729192,-35.12677675546125,-5.083333333333329,-11.900710559727035
walking,Node-DP,11923.273032171393,14810.587496726335,-24.215787533879208,22292.080146699227,27710.077131822494,-24.304582387415774,-4.916666666666663,-11.571520226251675
driving,Node-DP,11981.329039440672,13215.764703155204,-10.302994431176726,22426.137068520482,24542.238407432556,-9.435870887824205,-3.2500000000000027,-8.34690870930177
high_speed,Node-DP,11935.011238649618,11452.420345398325,4.043489223441199,22264.74813037702,21134.359287285883,5.077034047148654,0.08333333333334081,-0.10578672595474847
