episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,anchor_confidence,prefetch_lambda_ms_per_mb,predicted_gain_ms,expected_gain_ms,guard_cost_ms,planned_prefetch_mb,guard_rejected,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20009,r0020,0,1347.9441148815968,1546.8690403524527,0.147576537687788,0.4,0.6,2.0,9.99190917923056e-13,5.995145507538335e-13,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0
20009,r0015,0,2183.8361135316845,1882.9446359954625,-0.1377811620898705,0.4,0.6,2.0,9.669114570831534e-13,5.80146874249892e-13,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,0
20009,r0008,0,6072.6284155838075,5730.034230436557,-0.056416128519912845,0.4,0.6,2.0,-2.8329096340519433e-12,-1.699745780431166e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0005,0,2623.100525276028,3260.351725278124,0.24293815424212095,0.4,0.6,2.0,7.318965052994535e-12,4.391379031796721e-12,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0
20010,r0005,1,8647.407603410313,9039.018192474838,0.045286472781748244,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0021,0,7151.316301857785,7597.651304811273,0.06241298582158039,0.4,0.6,2.0,2.0355483315927038e-12,1.2213289989556223e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,0
20010,r0002,0,2326.4402438824673,1710.8638557401848,-0.2646001287851612,0.4,0.6,2.0,-1.6583814783262706e-11,-9.950288869957623e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0002,1,3136.6535706027444,3121.518479833649,-0.004825235056540589,0.4,0.6,2.0,-8.81547092778412e-12,-5.289282556670472e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0001,0,0.0,0.0,-0.04760853012085031,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0001,1,4244.021357064514,5495.470131973136,0.2948733452590867,0.4,0.6,2.0,-2.2221232089471826e-12,-1.3332739253683095e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0006,0,4117.743282935691,3577.204428927582,-0.13127065406144978,0.4,0.6,2.0,-1.4420867045473353e-11,-8.652520227284011e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0006,1,4885.748689387492,3644.55537159069,-0.2540436270274896,0.4,0.6,2.0,-6.171468979347158e-12,-3.702881387608294e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0009,0,5034.245266262493,5222.182896437515,0.03733183828656611,0.4,0.6,2.0,9.827661032333444e-12,5.896596619400066e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,0
20010,r0012,0,434.634710306178,266.27195212310005,-0.387366112716757,0.4,0.6,2.0,8.53368878596653e-12,5.120213271579918e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0
20010,r0012,1,9759.784618285179,7987.61418828421,-0.18157884618486025,0.4,0.6,2.0,3.327663268933929e-13,1.9965979613603573e-13,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366,0
20010,r0013,0,0.0,0.0,-0.08069860854973382,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0013,1,7437.94512509081,4567.687800384589,-0.38589385595543474,0.4,0.6,2.0,-2.4616028299253063e-12,-1.4769616979551838e-12,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
