method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,7.67486562693966,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,5.070601321807393,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,1.8333333333333424,percentage points
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.5825366983339161,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,3.861601669066528,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,0.03693990445158831,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,-0.5665004233237055,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,0.08333333333333526,percentage points
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.016300210978402598,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,0.31555213821411954,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,0.22695124728267022,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,-0.10327063340561077,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,0.2500000000000058,percentage points
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,0.03544110830429121,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,0.689299167708033,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,39.65404168508518,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,38.014504504390835,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,22.666666666666675,percentage points
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,4.4187059381937654,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,61.84665092776132,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,37.93245310619758,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,36.25324868520469,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,12.416666666666675,percentage points
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,3.1192057705731986,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,24.5944528325089,%
Full,NoBatch-LB,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,13.406262972887678,%
Full,NoBatch-LB,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,9.576237915407859,%
Full,NoBatch-LB,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,6.500000000000017,percentage points
