method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Full,LECU-RBA (adapted),mobility_mode,driving,slo_gain_pp,SLO satisfaction gain,26.583333333333343,percentage points
Full,LECU-RBA (adapted),mobility_mode,driving,throughput_gain_pct,Throughput gain,15.173118221135299,%
Full,LECU-RBA (adapted),mobility_mode,driving,goodput_gain_pct,Goodput gain,105.57594586402968,%
Full,DyBAP-Adapted,mobility_mode,driving,avg_e2e_reduction_pct,Average E2E reduction,50.40191123502501,%
Full,DyBAP-Adapted,mobility_mode,driving,p95_e2e_reduction_pct,P95 E2E reduction,43.37224872508539,%
Full,DyBAP-Adapted,mobility_mode,driving,slo_gain_pp,SLO satisfaction gain,18.33333333333333,percentage points
Full,DyBAP-Adapted,mobility_mode,driving,throughput_gain_pct,Throughput gain,12.772496250029306,%
Full,DyBAP-Adapted,mobility_mode,driving,goodput_gain_pct,Goodput gain,54.55600907692318,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,high_speed,avg_e2e_reduction_pct,Average E2E reduction,42.5597283857379,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,high_speed,p95_e2e_reduction_pct,P95 E2E reduction,42.109872918607934,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,high_speed,slo_gain_pp,SLO satisfaction gain,20.66666666666667,percentage points
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,high_speed,throughput_gain_pct,Throughput gain,14.236116698809623,%
Ours w/o DDQN,LECU-RBA (adapted),mobility_mode,high_speed,goodput_gain_pct,Goodput gain,81.14664444894433,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,high_speed,avg_e2e_reduction_pct,Average E2E reduction,45.4453973496998,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,high_speed,p95_e2e_reduction_pct,P95 E2E reduction,40.374212923251484,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,high_speed,slo_gain_pp,SLO satisfaction gain,12.58333333333333,percentage points
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,high_speed,throughput_gain_pct,Throughput gain,12.079570224711981,%
Ours w/o DDQN,DyBAP-Adapted,mobility_mode,high_speed,goodput_gain_pct,Goodput gain,37.45388701748518,%
Full,LECU-RBA (adapted),mobility_mode,high_speed,avg_e2e_reduction_pct,Average E2E reduction,47.01751199201292,%
Full,LECU-RBA (adapted),mobility_mode,high_speed,p95_e2e_reduction_pct,P95 E2E reduction,44.919466749121945,%
Full,LECU-RBA (adapted),mobility_mode,high_speed,slo_gain_pp,SLO satisfaction gain,26.500000000000007,percentage points
Full,LECU-RBA (adapted),mobility_mode,high_speed,throughput_gain_pct,Throughput gain,15.237775143666294,%
Full,LECU-RBA (adapted),mobility_mode,high_speed,goodput_gain_pct,Goodput gain,105.35413632991315,%
Full,DyBAP-Adapted,mobility_mode,high_speed,avg_e2e_reduction_pct,Average E2E reduction,49.679232018423285,%
Full,DyBAP-Adapted,mobility_mode,high_speed,p95_e2e_reduction_pct,P95 E2E reduction,43.268043908884664,%
Full,DyBAP-Adapted,mobility_mode,high_speed,slo_gain_pp,SLO satisfaction gain,18.416666666666664,percentage points
Full,DyBAP-Adapted,mobility_mode,high_speed,throughput_gain_pct,Throughput gain,13.06231938719869,%
Full,DyBAP-Adapted,mobility_mode,high_speed,goodput_gain_pct,Goodput gain,55.82250689507393,%
