method,baseline,arrival_rate_rps,avg_e2e_reduction_pct,p95_e2e_reduction_pct,slo_gain_pp,throughput_gain_pct,goodput_gain_pct
Ours w/o DDQN,NoBatch-LB,0.1,1.410677923832653,0.2602607075929373,0.33333333333334103,0.04493945647153393,0.4319018020240243
Ours w/o DDQN,Fixed4-LB,0.1,-0.029376269622519005,-0.14433375324888142,0.0,0.0,0.0
Ours w/o DDQN,SeqGreedy-LB,0.1,-0.2262181225880548,-0.6874777983374902,0.08333333333333526,0.0,0.11316515848838941
Ours w/o DDQN,LECU-RBA (adapted),0.1,36.218503064121755,36.48064177153626,23.08333333333334,1.5012479141270358,50.86972610795175
Ours w/o DDQN,DyBAP-Adapted,0.1,28.45939121523952,33.80860146244098,12.250000000000005,0.628550393223383,20.438389052888628
Full,NoBatch-LB,0.1,8.022022563037016,7.04447688496532,3.6666666666666736,0.19082562077014115,5.5276216564371214
Full,Fixed4-LB,0.1,6.678537596061646,6.667402611222359,3.3333333333333326,0.14582063329857947,5.073805994889964
Full,SeqGreedy-LB,0.1,6.49489584734644,6.16120278358885,3.416666666666668,0.14582063329857947,5.192712933973864
Full,LECU-RBA (adapted),0.1,40.49565447329433,40.80117700380212,26.41666666666667,1.6492576766413771,58.52456331569108
Full,DyBAP-Adapted,0.1,33.25686431287511,38.31088670949693,15.583333333333337,0.7752875826859615,26.549199256802993
Ours w/o DDQN,NoBatch-LB,0.2,7.67486562693966,5.070601321807393,1.8333333333333424,0.5825366983339161,3.861601669066528
Ours w/o DDQN,Fixed4-LB,0.2,0.03693990445158831,-0.5665004233237055,0.08333333333333526,0.016300210978402598,0.31555213821411954
Ours w/o DDQN,SeqGreedy-LB,0.2,0.22695124728267022,-0.10327063340561077,0.2500000000000058,0.03544110830429121,0.689299167708033
Ours w/o DDQN,LECU-RBA (adapted),0.2,39.65404168508518,38.014504504390835,22.666666666666675,4.4187059381937654,61.84665092776132
Ours w/o DDQN,DyBAP-Adapted,0.2,37.93245310619758,36.25324868520469,12.416666666666675,3.1192057705731986,24.5944528325089
Full,NoBatch-LB,0.2,13.406262972887678,9.576237915407859,6.500000000000017,0.7756476810964958,11.79394477509934
Full,Fixed4-LB,0.2,6.242487518489436,4.206690081481997,4.75000000000001,0.20832406183778523,7.9770686721771735
Full,SeqGreedy-LB,0.2,6.420703259685088,4.647933583466507,4.91666666666668,0.22750170826162758,8.379360318980693
Full,LECU-RBA (adapted),0.2,43.4002226971511,40.956523738329494,27.33333333333335,4.619182080319692,74.20755375508304
Full,DyBAP-Adapted,0.2,41.78550759620484,39.27886245129157,17.08333333333335,3.3171869691164035,34.110250134816816
Ours w/o DDQN,NoBatch-LB,0.4,23.626898518640427,15.821770914575877,4.499999999999998,7.510349922072401,15.398222511648829
Ours w/o DDQN,Fixed4-LB,0.4,3.3496891061710707,-0.13603369442855964,0.666666666666671,0.1849005640729551,1.4779424780499641
Ours w/o DDQN,SeqGreedy-LB,0.4,1.8030609508743645,0.9548787821366419,0.16666666666667052,0.502565595797015,0.7856604690813812
Ours w/o DDQN,LECU-RBA (adapted),0.4,41.65496902028696,41.58737256086141,20.16666666666667,13.865490407093093,83.6329816590044
Ours w/o DDQN,DyBAP-Adapted,0.4,44.829658707781334,39.375868605744884,12.83333333333333,11.854071212967611,39.89586434182467
Full,NoBatch-LB,0.4,29.170515797184116,19.693999583935014,10.416666666666668,8.401886641910895,31.024503782854325
Full,Fixed4-LB,0.4,10.365147730414852,4.470259699009193,6.583333333333341,1.0156905083990675,15.219253543956118
Full,SeqGreedy-LB,0.4,8.930783112919837,5.510989811162444,6.083333333333341,1.3359897985047244,14.433228380581095
Full,LECU-RBA (adapted),0.4,45.890000930510574,44.274374331745555,26.083333333333343,14.80972755164637,108.49905463325722
Full,DyBAP-Adapted,0.4,48.83425262001552,42.16460035016784,18.75,12.781628530212627,58.83941544082959
Ours w/o DDQN,NoBatch-LB,0.6,30.85745140534574,23.95003187436434,6.333333333333341,16.301062380110583,31.300231401138173
Ours w/o DDQN,Fixed4-LB,0.6,6.713204998246241,0.9768763278367463,1.0833333333333417,0.8353314586219893,3.020640887192313
Ours w/o DDQN,SeqGreedy-LB,0.6,3.081334432616198,1.3278957219529286,0.33333333333334103,0.21159114509042912,0.9297890819822029
Ours w/o DDQN,LECU-RBA (adapted),0.6,40.077907690192106,39.46503089071239,18.583333333333343,19.38738194530777,108.13551789679634
Ours w/o DDQN,DyBAP-Adapted,0.6,44.6083676300592,40.353490534266456,11.58333333333334,18.119430088600623,50.37854678565565
Full,NoBatch-LB,0.6,35.81291514073535,28.608527634847757,11.249999999999998,19.58465843301277,51.48131330155208
Full,Fixed4-LB,0.6,13.3990929068915,7.042609334516318,6.0,3.682274466661432,18.855098823719114
Full,SeqGreedy-LB,0.6,10.027519412246198,7.372126781956648,5.249999999999999,3.0409237273123138,16.4428793326162
Full,LECU-RBA (adapted),0.6,44.37253901960306,43.17314417342594,23.5,22.758115867244673,140.12632163138824
Full,DyBAP-Adapted,0.6,48.57829976349082,44.0071805794052,16.499999999999996,21.454365182678618,73.49200010071382
