name,episode_seed,mapping_id,now_ms,node_id,group_size,proposal_weight,base_weight,baseline_batch_size,baseline_ids,result_ids,result_matches_baseline,proposal_exists,proposal_changed,risk_reducing,baseline_risk,proposal_risk,risk_reduction,baseline_utility,proposal_weighted_utility,proposal_reference_utility,absolute_utility_regret,relative_utility_regret,risk_reduction_per_regret,proposal_ids,selected_action
high_speed_0p6,20060,4,27063.530451043272,cloud_0,1,0.6,0.003,3,r0006|r0019|r0023,r0006|r0019|r0023,1,1,1,1,4.059020753433216,0.119227259925182,3.9397934935080334,6.914855085958563,5.226030528605396,5.29720920278073,1.6176458831778335,0.2339377851117453,2.4355104751160908,r0006|r0021|r0023,1
high_speed_0p6,20010,3,23508.47629241801,cloud_0,1,0.6,0.003,4,r0000|r0001|r0006|r0009,r0000|r0001|r0006|r0009,1,1,1,1,3.273542288237313,0.1347776377666488,3.138764650470665,6.160545773831851,4.32489193684645,4.405354186593139,1.7551915872387118,0.2849084564381031,1.788274666589877,r0006|r0009|r0012|r0013,1
high_speed_1p0,20060,4,27063.530451043272,cloud_0,1,1.0,0.003,3,r0006|r0019|r0023,r0006|r0019|r0023,1,1,1,1,4.059020753433216,0.119227259925182,3.9397934935080334,6.914855085958563,5.178339624635323,5.29720920278073,1.6176458831778335,0.2339377851117453,2.4355104751160908,r0006|r0021|r0023,1
high_speed_1p0,20010,3,23508.47629241801,cloud_0,1,1.0,0.003,4,r0000|r0001|r0006|r0009,r0000|r0001|r0006|r0009,1,1,1,1,3.273542288237313,0.1347776377666488,3.138764650470665,6.160545773831851,4.270980881739791,4.40535418659314,1.755191587238711,0.2849084564381029,1.788274666589878,r0006|r0009|r0012|r0013,1
