episode_seed,mapping_id,mapping_success,selected_node_id,selected_group_size,selected_ids,matched_candidate_records
20007,0,1,cloud_0,1,r0004,1
20007,1,1,cloud_0,1,r0000|r0007,1
20007,2,1,cloud_0,1,r0019,1
20007,3,1,cloud_0,1,r0002,1
20007,4,1,cloud_0,1,r0015,1
20007,5,1,cloud_0,1,r0006,1
20007,6,1,cloud_0,1,r0005,1
20007,7,1,cloud_0,1,r0011|r0023,1
20007,8,1,cloud_0,1,r0012|r0021,1
20008,0,1,cloud_0,1,r0012,1
20008,1,1,cloud_0,1,r0007,1
20008,2,1,cloud_0,1,r0008,1
20008,3,1,cloud_0,1,r0005,1
20008,4,1,cloud_0,1,r0000|r0013|r0014,1
20008,5,1,cloud_0,1,r0023,1
20008,6,1,cloud_0,1,r0003,1
20008,7,1,cloud_0,1,r0004|r0017|r0021,1
20009,0,1,cloud_0,1,r0005,1
20009,1,1,cloud_0,1,r0000|r0007|r0011,1
20009,2,1,cloud_0,1,r0003|r0017|r0019|r0020,1
20009,3,1,cloud_0,1,r0014|r0015,1
20009,4,1,cloud_0,1,r0008|r0021,1
20010,0,1,cloud_0,1,r0020,1
20010,1,1,cloud_0,1,r0017,1
20010,2,1,cloud_0,1,r0002|r0005|r0021,1
20010,3,1,cloud_0,1,r0000|r0001|r0006|r0009,1
20010,4,1,cloud_0,1,r0011|r0012|r0013,1
20011,0,1,cloud_0,1,r0006,1
20011,1,1,cloud_0,1,r0004,1
20011,2,1,cloud_0,1,r0000|r0013|r0021,1
20011,3,1,cloud_0,1,r0008|r0011|r0015|r0019|r0023,1
20011,4,1,cloud_0,1,r0005|r0009,1
20012,0,1,cloud_0,1,r0021,1
20012,1,1,cloud_0,1,r0015,1
20012,2,1,cloud_0,1,r0007,1
20012,3,1,cloud_0,1,r0002|r0003|r0005|r0009,1
20012,4,1,cloud_0,1,r0011|r0013|r0014,1
20012,5,1,cloud_0,1,r0010|r0022,1
20013,0,1,cloud_0,1,r0006,1
20013,1,1,cloud_0,1,r0002|r0004|r0011|r0017,1
20013,2,1,cloud_0,1,r0010|r0020|r0023,1
20013,3,1,cloud_0,1,r0003|r0007|r0014|r0016,1
20014,0,1,cloud_0,1,r0023,1
20014,1,1,cloud_0,1,r0004|r0011|r0016,1
20014,2,1,cloud_0,1,r0001|r0008|r0012|r0019,1
20014,3,1,cloud_0,1,r0000|r0022,1
20014,4,1,cloud_0,1,r0006|r0015,1
20015,0,1,cloud_0,1,r0022,1
20015,1,1,cloud_0,1,r0001|r0011,1
20015,2,1,cloud_0,1,r0013|r0015|r0017,1
20015,3,1,cloud_0,1,r0019,1
20015,4,1,cloud_0,1,r0018,1
20015,5,1,cloud_0,1,r0023,1
20015,6,1,cloud_0,1,r0010,1
20015,7,1,cloud_0,1,r0008|r0016,1
20016,0,1,cloud_0,1,r0000,1
20016,1,1,cloud_0,1,r0006,1
20016,2,1,cloud_0,1,r0007|r0009,1
20016,3,1,cloud_0,1,r0002|r0012,1
20016,4,1,cloud_0,1,r0004|r0019,1
20016,5,1,cloud_0,1,r0022|r0023,1
20016,6,1,cloud_0,1,r0017|r0020,1
20017,0,1,cloud_0,1,r0013,1
20017,1,1,cloud_0,1,r0011,1
20017,2,1,cloud_0,1,r0019,1
20017,3,1,cloud_0,1,r0020,1
20017,4,1,cloud_0,1,r0010|r0014,1
20017,5,1,cloud_0,1,r0012|r0017,1
20017,6,1,cloud_0,1,r0001|r0023,1
20017,7,1,cloud_0,1,r0003|r0004,1
20018,0,1,cloud_0,1,r0016,1
20018,1,1,cloud_0,1,r0000,1
20018,2,1,cloud_0,1,r0011,1
20018,3,1,cloud_0,1,r0012,1
20018,4,1,cloud_0,1,r0017,1
20018,5,1,cloud_0,1,r0020|r0021|r0022,1
20018,6,1,cloud_0,1,r0002|r0006|r0010|r0014,1
20019,0,1,cloud_0,1,r0020,1
20019,1,1,cloud_0,1,r0007|r0011|r0018,1
20019,2,1,cloud_0,1,r0016,1
20019,3,1,cloud_0,1,r0023,1
20019,4,1,cloud_0,1,r0000|r0005|r0015,1
20019,5,1,cloud_0,1,r0003|r0009|r0022,1
20020,0,1,cloud_0,1,r0012,1
20020,1,1,cloud_0,1,r0001,1
20020,2,1,cloud_0,1,r0008,1
20020,3,1,cloud_0,1,r0016|r0021,1
20020,4,1,cloud_0,1,r0007|r0017,1
20020,5,1,cloud_0,1,r0004|r0011|r0013,1
20020,6,1,cloud_0,1,r0009|r0022,1
20021,0,1,cloud_0,1,r0007,1
20021,1,1,cloud_0,1,r0009|r0021,1
20021,2,1,cloud_0,1,r0014,1
20021,3,1,cloud_0,1,r0002,1
20021,4,1,cloud_0,1,r0016|r0017|r0023,1
20021,5,1,cloud_0,1,r0000|r0003|r0004|r0022,1
20022,0,1,cloud_0,1,r0023,1
20022,1,1,cloud_0,1,r0001,1
20022,2,1,cloud_0,1,r0019,1
20022,3,1,cloud_0,1,r0007|r0022,1
20022,4,1,cloud_0,1,r0002|r0009|r0014,1
20022,5,1,cloud_0,1,r0013|r0020,1
20022,6,1,cloud_0,1,r0006,1
20022,7,1,cloud_0,1,r0011,1
20023,0,1,cloud_0,1,r0017,1
20023,1,1,cloud_0,1,r0001|r0003|r0012|r0020,1
