episode_seed,mapping_id,now_ms,node_id,group_size,proposal_weight,base_weight,baseline_batch_size,baseline_ids,result_ids,result_matches_baseline,proposal_exists,proposal_changed,risk_reducing,baseline_risk,proposal_risk,risk_reduction,baseline_utility,proposal_weighted_utility,proposal_reference_utility,absolute_utility_regret,relative_utility_regret,risk_reduction_per_regret,proposal_ids,selected_action
20007,0,0.0,edge_5,1,0.6,0.003,1,r0004,r0004,1,1,0,0,0.17396965101156817,0.17396965101156817,0.0,-0.49168537970356985,-0.5955452613574761,-0.4916853797035699,5.551115123125783e-17,1.1289973939173198e-16,,r0004,0
20007,0,0.0,cloud_0,1,0.6,0.003,1,r0004,r0004,1,1,0,0,0.1369380142565086,0.1369380142565086,0.0,-0.2057525298480053,-0.287504524359141,-0.20575252984800535,5.551115123125783e-17,2.6979571659345007e-16,,r0004,1
20007,0,0.0,edge_5,2,0.6,0.003,1,r0004,r0004,1,1,0,0,0.27284640345050615,0.27284640345050615,0.0,-0.49319232481667585,-0.656081627676628,-0.49319232481667585,0.0,0.0,,r0004,0
20007,0,0.0,cloud_0,2,0.6,0.003,1,r0004,r0004,1,1,0,0,0.22671734696975104,0.22671734696975104,0.0,-0.206021867846145,-0.3413721239870864,-0.206021867846145,0.0,0.0,,r0004,0
20007,0,0.0,edge_5,4,0.6,0.003,1,r0004,r0004,1,1,0,0,0.470599908328382,0.470599908328382,0.0,-0.49620621504288787,-0.7771543603149319,-0.49620621504288787,0.0,0.0,,r0004,0
20007,0,0.0,cloud_0,4,0.6,0.003,1,r0004,r0004,1,1,0,0,0.4062760123962359,0.4062760123962359,0.0,-0.2065605438424245,-0.4491073232429773,-0.20656054384242448,-2.7755575615628914e-17,-1.3437017108554072e-16,,r0004,0
20007,0,0.0,edge_5,8,0.6,0.003,1,r0004,r0004,1,1,0,0,0.8661069180841336,0.8661069180841336,0.0,-0.5022339954953118,-1.0192998255915395,-0.5022339954953118,0.0,0.0,,r0004,0
20007,0,0.0,cloud_0,8,0.6,0.003,1,r0004,r0004,1,1,0,0,0.7653933432492056,0.7653933432492056,0.0,-0.20763789583498338,-0.6645777217547593,-0.20763789583498354,1.6653345369377348e-16,8.020378603052447e-16,,r0004,0
20007,1,4607.742286632446,edge_5,1,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.1411566853817932,0.1411566853817932,0.0,5.878169936879687,5.793899395706757,5.878169936879687,0.0,0.0,,r0000|r0007,0
20007,1,4607.742286632446,cloud_0,1,0.6,0.003,2,r0000|r0007,r0000|r0007,1,1,0,0,0.08896438557462,0.08896438557462,0.0,6.0196402930835,5.966528554895451,6.019640293083499,8.881784197001252e-16,1.4754675968273927e-16,,r0000|r0007,1
