name,mobility_mode,proposal_weight,episodes,mapping_count,unmatched_mappings,all_candidate_records,all_changed_proposals,selected_candidate_records,selected_changed_proposals,selected_risk_reducing,episodes_with_selected_risk_reducing,abs_regret_min,abs_regret_q25,abs_regret_q50,abs_regret_q75,abs_regret_q90,abs_regret_max,rel_regret_min,rel_regret_q25,rel_regret_q50,rel_regret_q75,rel_regret_q90,rel_regret_max,risk_reduction_min,risk_reduction_q25,risk_reduction_q50,risk_reduction_q75,risk_reduction_q90,risk_reduction_max,risk_per_regret_min,risk_per_regret_q25,risk_per_regret_q50,risk_per_regret_q75,risk_per_regret_q90,risk_per_regret_max
driving_0p6,driving,0.6,100,626,0,4376,0,626,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
driving_1p0,driving,1.0,100,626,0,4376,1,626,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
high_speed_0p6,high_speed,0.6,100,626,0,4376,16,626,2,2,2,1.6176458831778335,1.652032309193053,1.6864187352082727,1.7208051612234923,1.741437016832624,1.7551915872387118,0.2339377851117453,0.24668045294333474,0.2594231207749242,0.27216578860651364,0.2798113893054673,0.2849084564381031,3.138764650470665,3.339021861230007,3.539279071989349,3.7395362827486913,3.8596906092042964,3.9397934935080334,1.788274666589877,1.9500836187214303,2.1118925708529837,2.2737015229845374,2.3707868942634693,2.4355104751160908
high_speed_1p0,high_speed,1.0,100,626,0,4376,41,626,2,2,2,1.6176458831778335,1.6520323091930529,1.6864187352082722,1.7208051612234916,1.7414370168326232,1.755191587238711,0.2339377851117453,0.24668045294333468,0.25942312077492413,0.2721657886065135,0.2798113893054672,0.2849084564381029,3.138764650470665,3.339021861230007,3.539279071989349,3.7395362827486913,3.8596906092042964,3.9397934935080334,1.788274666589878,1.9500836187214312,2.1118925708529845,2.2737015229845374,2.3707868942634693,2.4355104751160908
