mode,keep_avg_ms,reactive_avg_ms,prefetch_avg_ms,reactive_gain_vs_keep_pct,prefetch_gain_vs_keep_pct,prefetch_extra_vs_reactive_pct,prefetch_extra_ms,prefetch_ci_low_ms,prefetch_ci_high_ms,reactive_p95_gain_pct,prefetch_p95_gain_pct,prefetch_extra_p95_pct,reactive_slo,prefetch_slo,extra_slo_pp,prefetch_plan_rate,prefetch_accept_rate,accepted_given_plan,mean_hidden_ms,mean_delta_sync_ms
walking,15747.320382073953,14881.49125723508,14823.148459638443,5.498263220861965,5.868756715507894,0.392049402765815,58.34279759663819,-33.898952206589556,150.58454739986593,7.4359468678416025,7.609253252716264,0.18722860442078604,0.41333333333333333,0.4141666666666666,0.0833333333333297,0.821917808219178,0.6986301369863014,0.85,1294.6920381232108,226.581729982461
driving,15754.965489284976,13370.251794899665,13094.131065859454,15.136267331129138,16.88886227796035,2.0651872027237506,276.12072904021096,43.46712480782671,508.7743332725952,18.57618166878178,19.765865404963677,1.4611004010429363,0.42833333333333334,0.42833333333333334,0.0,0.8534201954397395,0.5895765472312704,0.6908396946564885,783.1037158407365,115.526604942553
high_speed,15706.25550474346,11652.157283093193,11235.872479001142,25.811997139775844,28.462436666665802,3.572598566756935,416.28480409205355,214.12199770054917,618.4476104835579,28.54249831154464,30.844322475556496,3.2212491475667404,0.45416666666666666,0.4716666666666666,1.749999999999996,0.756294058408862,0.31419939577039274,0.41544607190412786,428.73277530183316,52.869284473457405
