episode_seed,request_id,handover_index,lead_ms,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20010,r0011,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20010,r0012,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0013,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20012,r0014,0,14157.144143259997,1,1,1,2794.8247839781734,2794.8247839781734,0.0,538.9817666332015,210,28
20014,r0022,0,13086.98795369727,1,1,1,231.6379295993464,231.6379295993464,0.0,298.55998711364686,239,14
20014,r0015,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0012,0,10978.23275638964,1,1,1,1190.4694777783761,1190.4694777783761,0.0,268.5604440899949,213,14
20023,r0023,0,12388.641986137984,1,1,1,1957.3160340763568,1957.3160340763568,0.0,374.3096488282942,194,15
20023,r0015,0,6206.839721471362,1,1,1,1803.234300170404,1803.234300170404,0.0,190.87901322596946,94,15
20023,r0005,0,7298.9698054898545,1,1,1,1896.7839243275894,1896.7839243275894,0.0,220.22791492234143,110,15
20025,r0020,0,19847.151870685906,1,1,1,2048.0524089267997,2048.0524089267997,0.0,552.425577540944,228,23
20029,r0016,0,4375.663240478403,1,1,1,1941.9576143830534,1941.9576143830534,0.0,213.5098360346381,106,19
20033,r0000,0,23774.21046071391,1,1,1,407.99380063111505,407.99380063111505,0.0,148.64320663709452,364,4
20033,r0013,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20033,r0014,0,22552.81253092661,1,1,1,1927.2565789821606,1927.2565789821606,0.0,622.1854055113319,345,15
20033,r0004,0,2121.4145000650387,1,1,1,2177.6151969415114,2121.4145000650387,56.20069687647265,156.50912764995772,32,28
20035,r0008,0,17412.800901482617,1,1,1,1325.5704946902902,1325.5704946902902,0.0,361.89694352084103,271,18
20035,r0010,0,5226.890806896357,1,1,1,1380.6375547571158,1380.6375547571158,0.0,131.0168217965015,81,18
20035,r0018,0,1305.001133779646,1,1,1,764.3842716619854,764.3842716619854,0.0,41.07879869344609,20,5
20036,r0002,0,13060.20742070592,1,1,1,0.0,0.0,0.0,0.0,526,0
20038,r0018,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20038,r0010,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20043,r0003,0,37339.903585216176,1,1,1,0.0,0.0,0.0,0.0,547,0
