policy,episodes,avg_e2e_ms_delta,avg_e2e_ms_change_pct,avg_e2e_ms_ci_low,avg_e2e_ms_ci_high,p95_e2e_ms_delta,p95_e2e_ms_change_pct,p95_e2e_ms_ci_low,p95_e2e_ms_ci_high,slo_satisfaction_delta,slo_satisfaction_ci_low,slo_satisfaction_ci_high,throughput_rps_delta,throughput_rps_ci_low,throughput_rps_ci_high,goodput_rps_delta,goodput_rps_ci_low,goodput_rps_ci_high,handover_events_delta,handover_events_ci_low,handover_events_ci_high,handover_slo_satisfaction_delta,handover_slo_satisfaction_ci_low,handover_slo_satisfaction_ci_high,migration_mb_delta,migration_mb_ci_low,migration_mb_ci_high,migration_ms_delta,migration_ms_change_pct,migration_ms_ci_low,migration_ms_ci_high,handover_overhead_ms_delta,handover_overhead_ms_change_pct,handover_overhead_ms_ci_low,handover_overhead_ms_ci_high,mean_batch_size_delta,mean_batch_size_ci_low,mean_batch_size_ci_high,changed_episodes,changed_rate
high_speed_reactive,100,5499.318650170879,35.049335962687714,4451.947118636661,6546.690181705097,11267.184961389508,37.48250258827386,9352.427410558457,13181.94251222056,-0.09083333333333334,-0.11262286299079963,-0.06904380367586704,-0.04085734485542959,-0.04644064937454702,-0.035274040336312165,-0.03805271934304797,-0.04571930498705926,-0.030386133699036682,0.32,-0.10694948202570786,0.7469494820257079,-0.13177994227994227,-0.16490763585170803,-0.09865224870817652,2360.221171875,2047.0077540759296,2673.43458967407,26076.157619304293,2.6076157619304294e+18,22464.781385550654,29687.533853057932,25916.811146387437,16264.439790838025,22325.216680938076,29508.4056118368,0.19614285714285715,0.12382079889269504,0.26846491539301925,100,1.0
high_speed_prefetch,100,320.1169554622574,2.040232151123078,216.99729548133098,423.23661544318384,724.6148776378334,2.410573636594693,460.91083561551005,988.3189196601568,-0.012500000000000002,-0.020666666666666667,-0.004333333333333337,-0.004743078962187828,-0.006721410612894142,-0.002764747311481514,-0.0057783479886109965,-0.008770507526943276,-0.0027861884502787177,0.11,-0.09451619777297628,0.3145161977729763,-0.023781746031746036,-0.04029088315840762,-0.007272608905084448,2293.825078125,1972.4442097856468,2615.205946464353,2358.3245048209956,2.3583245048209946e+17,1942.1810171862999,2774.4679924556913,2198.9780319041306,1379.9979325876898,1790.5729900657834,2607.383073742478,0.002857142857142858,-0.002742857142857143,0.00845714285714286,100,1.0
