weight,candidate_cases,batch_change_rate,batch_size_change_rate,smaller_batch_rate,larger_batch_rate,mean_batch_size,mean_batch_size_delta,mean_handover_delta_ms,handover_reduction_rate
0.003,166,0.0,0.0,0.0,0.0,4.210843373493976,0.0,0.0,0.0
0.01,166,0.018072289156626505,0.018072289156626505,0.012048192771084338,0.006024096385542169,4.204819277108434,-0.006024096385542169,-0.00223882881404414,0.012048192771084338
0.03,166,0.05421686746987952,0.05421686746987952,0.04216867469879518,0.012048192771084338,4.180722891566265,-0.030120481927710843,-0.003013083020957524,0.030120481927710843
0.1,166,0.10843373493975904,0.10843373493975904,0.08433734939759036,0.024096385542168676,4.120481927710843,-0.09036144578313253,-0.007411894754634379,0.060240963855421686
0.3,166,0.15060240963855423,0.15060240963855423,0.10843373493975904,0.04216867469879518,4.078313253012048,-0.13253012048192772,-0.006167100616193435,0.07228915662650602
