episode_seed,request_id,handover_index,lead_ms,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20013,r0002,0,855.0714827460597,1,1,0,0.0,0.0,0.0,0.0,32,0
20013,r0017,0,2833.764312835081,0,1,0,0.0,0.0,0.0,0.0,105,0
20013,r0023,0,900.572266397623,0,1,0,0.0,0.0,0.0,0.0,33,0
20013,r0016,0,1222.7791100842514,1,1,0,0.0,0.0,0.0,0.0,40,0
20013,r0014,0,304.51575173239326,1,1,1,0.0,0.0,0.0,0.0,11,0
20013,r0014,1,9424.254929499883,1,1,0,0.0,0.0,0.0,0.0,336,0
20013,r0007,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0023,0,8033.333498555587,1,1,1,1233.1611351581885,1233.1611351581885,0.0,203.94604373135996,157,14
20014,r0011,0,1192.5081099565377,1,1,1,497.01850250088285,497.01850250088285,0.0,49.33301430176915,23,14
20014,r0008,0,403.9129086801677,1,1,1,480.864902411224,403.9129086801677,76.95199373105635,30.398866212596857,7,14
20014,r0001,0,3369.025829460674,0,1,0,480.864902411224,0.0,0.0,0.0,62,14
20014,r0019,0,3811.065560287294,1,1,1,807.3983899378972,807.3983899378972,0.0,109.33210034907304,75,14
20014,r0012,0,4394.603116529604,1,1,1,1190.4694777783761,1190.4694777783761,0.0,118.56272897173517,83,14
20014,r0000,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20014,r0022,0,5591.54770286792,1,1,1,231.6379295993464,231.6379295993464,0.0,152.0237577288854,112,14
20014,r0015,0,902.2667775669106,0,1,0,1388.9279931656122,0.0,0.0,0.0,17,14
20014,r0015,1,2937.194110018041,1,1,0,0.0,0.0,0.0,0.0,154,0
20014,r0006,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20015,r0001,0,1818.1968261065635,1,1,1,0.0,0.0,0.0,0.0,98,0
20015,r0001,1,4687.515015508019,1,1,0,0.0,0.0,0.0,0.0,221,0
20015,r0013,0,272.1733977671702,1,1,1,0.0,0.0,0.0,0.0,12,0
20015,r0010,0,6647.610621599477,0,1,0,0.0,0.0,0.0,0.0,373,0
20015,r0008,0,3965.262641813024,1,1,1,0.0,0.0,0.0,0.0,187,0
20015,r0008,1,4682.965557835727,1,1,0,0.0,0.0,0.0,0.0,216,0
20015,r0016,0,668.6981966894527,1,1,0,0.0,0.0,0.0,0.0,36,0
20016,r0007,0,815.7664072119132,1,1,0,0.0,0.0,0.0,0.0,49,0
20016,r0002,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20016,r0002,1,7957.920413877615,1,1,0,0.0,0.0,0.0,0.0,373,0
20016,r0019,0,1911.2185840690254,0,1,0,0.0,0.0,0.0,0.0,100,0
20016,r0019,1,4634.78888843258,1,1,1,0.0,0.0,0.0,0.0,259,0
20016,r0004,0,5898.270123165592,1,1,1,0.0,0.0,0.0,0.0,310,0
20016,r0023,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
20017,r0020,0,4018.6741981259947,0,1,0,0.0,0.0,0.0,0.0,224,0
20017,r0010,0,460.56578680812527,1,1,1,0.0,0.0,0.0,0.0,26,0
20017,r0010,1,3019.34405333989,1,1,0,0.0,0.0,0.0,0.0,153,0
20017,r0012,0,542.781564780762,0,1,0,0.0,0.0,0.0,0.0,26,0
20017,r0012,1,7265.01107459842,0,1,0,0.0,0.0,0.0,0.0,318,0
20017,r0001,0,4032.874771248931,1,1,0,0.0,0.0,0.0,0.0,172,0
20017,r0023,0,1812.633420149181,0,1,0,0.0,0.0,0.0,0.0,77,0
20017,r0023,1,5424.587909869122,1,1,0,0.0,0.0,0.0,0.0,232,0
20017,r0003,0,5519.964879315787,1,1,0,0.0,0.0,0.0,0.0,290,0
20017,r0004,0,14.905257969818194,1,1,1,0.0,0.0,0.0,0.0,0,0
20018,r0017,0,5358.803136574814,1,1,0,0.0,0.0,0.0,0.0,269,0
20018,r0021,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0002,0,3383.575586359839,0,1,0,0.0,0.0,0.0,0.0,163,0
20018,r0002,1,3545.745451406852,1,1,0,0.0,0.0,0.0,0.0,158,0
20018,r0014,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0010,0,370.2979050012691,0,1,0,0.0,0.0,0.0,0.0,16,0
20018,r0010,1,5633.778606587737,0,1,0,0.0,0.0,0.0,0.0,273,0
20018,r0006,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0006,1,2383.082291825096,1,1,0,0.0,0.0,0.0,0.0,120,0
20019,r0023,0,1739.7133880063993,0,1,0,0.0,0.0,0.0,0.0,61,0
20019,r0023,1,3992.4882237872043,0,1,0,0.0,0.0,0.0,0.0,131,0
