episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
70,20077,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,10,1.2,27988.445510555415,4710.995806667029,10175.72372064115,0.33333333333333337,0.4287483560126404,0.14291611867088014,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-180.77461978680586,
71,20078,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,29578.45060892782,1557.1739132357973,2824.8971665449844,0.9166666666666666,0.40570076366265034,0.3718923666907628,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-157.81709495442146,
72,20079,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,21333.82405228062,1464.3519588781382,2628.679246320791,0.8333333333333334,0.5624870614191262,0.4687392178492718,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,-116.59205411083403,
73,20080,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,32987.32333376452,5512.68792068665,10335.370289444263,0.16666666666666663,0.363776105099054,0.06062935084984234,3,3,0.0,0.0,39.11023703664267,0.0,13.03674567888089,13.03674567888089,0.0,0.0,0.0,336,-227.74607696779006,
74,20081,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,6,2.0,25537.925981344782,7308.699938265166,13919.752065790628,0.33333333333333337,0.4698893719390482,0.1566297906463494,5,4,0.25,0.0,60.0,0.0,12.0,15.0,0.0,0.0,0.0,168,-145.56190524298654,
75,20082,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,10,1.2,44495.14094603608,11503.473529366245,18445.86960012115,0.08333333333333337,0.26969236965792864,0.022474364138160723,5,4,0.0,0.0,60.81535645195806,0.0,12.163071290391612,15.203839112989515,0.0,0.0,0.0,280,-267.0062529339793,
76,20083,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,10,1.2,58715.00670892155,8605.972181508732,16724.98167908924,0.5,0.20437705235204615,0.10218852617602307,4,4,0.5,0.0,51.77928183451613,0.0,12.944820458629032,12.944820458629032,0.0,0.0,0.0,280,-228.32250017295158,
77,20084,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,44436.92136855985,3222.732189050244,5340.8698485746545,0.25,0.27004571042336606,0.06751142760584151,3,3,0.0,0.0,38.167893806213314,0.0,12.722631268737771,12.722631268737771,0.0,0.0,0.0,336,-209.95356799773975,
78,20085,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,27678.023499341718,1519.8387903426035,2695.581499053915,0.8333333333333334,0.4335569698568036,0.36129747488066966,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-146.81640064329946,
79,20086,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,34781.15093646758,3147.758854372844,5722.498140562618,0.41666666666666663,0.34501445975492884,0.14375602489788702,2,2,0.5,0.0,24.649413348651503,0.0,12.324706674325752,12.324706674325752,0.0,0.0,0.0,308,-200.47675703328778,
80,20087,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,10,1.2,31423.176968137952,7226.466563575849,14201.2614190409,0.33333333333333337,0.38188372907575824,0.12729457635858607,2,1,1.0,0.0,24.674446970642727,0.0,12.337223485321363,24.674446970642727,0.0,0.0,0.0,280,-205.9821096635301,
81,20088,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,42283.51110724583,2608.22129600782,6170.0492934609965,0.6666666666666667,0.28379857031181227,0.1891990468745415,1,1,0.0,0.0,14.680969677064745,0.0,14.680969677064745,14.680969677064745,0.0,0.0,0.0,308,-170.096192619084,
82,20089,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,39997.90754762323,6117.928305080459,9748.295176780794,0.33333333333333337,0.30001569421381064,0.10000523140460353,4,4,0.5,0.0,48.671192829216864,0.0,12.167798207304216,12.167798207304216,0.0,0.0,0.0,308,-249.17804006827956,
