policy,episodes,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_slo_satisfaction,handover_overhead_ms,migration_mb,mean_batch_size,avg_e2e_vs_keep_pct,p95_vs_keep_pct,slo_vs_keep_pp,goodput_vs_keep_pct
keep,20,10266.755736400228,18596.501684131632,0.5291666666666666,0.2990949140870055,0.15446346893577015,7.65,0.6790873015873015,99.2787836513377,0.0,2.0038095238095237,0.0,0.0,0.0,0.0
reactive,20,13750.352156914325,26326.75496617861,0.42499999999999993,0.257202009482982,0.11142303744085069,7.6,0.5043650793650793,15680.341281612375,1436.342578125,2.1278571428571427,33.93083959486047,41.56831974824164,-10.416666666666663,-27.864472934255257
prefetch,20,10591.170613582886,19032.829958894195,0.5249999999999999,0.29365667727914724,0.14990344840067144,7.85,0.6669444444444443,1895.5512915958175,1463.363671875,2.0038095238095237,3.1598577536276817,2.346292233742453,-0.4166666666666652,-2.9521676332381785
oracle_guarded,20,10248.338628113343,18564.138532910038,0.5291666666666666,0.2993487088831198,0.15458863168339312,7.6,0.6850396825396824,37.71584114210601,1001.4046875,2.0038095238095237,-0.17938586209457208,-0.17402816815385025,0.0,0.08103064658933068
