mobility_mode,arrival_rate_rps,episodes,keep_avg_e2e_ms,guarded_avg_e2e_ms,avg_e2e_delta_ms,avg_e2e_ci95_low,avg_e2e_ci95_high,avg_e2e_change_pct,keep_p95_e2e_ms,guarded_p95_e2e_ms,p95_delta_ms,p95_ci95_low,p95_ci95_high,p95_change_pct,slo_change_pp,goodput_delta_rps,handover_overhead_delta_ms,overhead_ci95_low,overhead_ci95_high,migration_mb,e2e_saved_ms_per_gb,overhead_saved_ms_per_gb,avg_e2e_improvement_rate,avg_e2e_significant
driving,0.2,20,8043.569282649357,8038.863449840581,-4.705832808777336,-8.055934479633128,-1.3557311379215427,-0.05850428638599789,15347.306626232414,15339.347890365065,-7.958735867349333,-11.764826805579448,-4.152644929119218,-0.05185754126881031,0.0,1.716301081965063e-05,-16.42711536896293,-24.5125710215013,-8.341659716424557,302.4984375,15.929909708006315,55.60810917516901,0.7,1
driving,0.4,20,10243.75093853179,10237.445505651627,-6.305432880162243,-8.700726346200426,-3.910139414124061,-0.06155394560057494,18522.44987273163,18508.922167719844,-13.527705011793842,-17.30822319615836,-9.747186827429324,-0.07303410242566806,0.0,5.398066167898313e-05,-22.482824240399786,-29.39866023870688,-15.566988242092693,431.2546875,14.972041942816302,53.38472297108511,0.9,1
driving,0.6,20,10745.014910991264,10740.067227522315,-4.947683468946297,-7.096976844533849,-2.7983900933587464,-0.04604631552335237,19633.088138489587,19623.03025456485,-10.057883924746056,-12.793209279874118,-7.3225585696179945,-0.051229250608966236,0.0,4.879019859915495e-05,-20.849074422801255,-26.643871507939167,-15.054277337663343,384.41484375,13.17958438539357,55.53753336026969,0.9,1
high_speed,0.2,20,8090.8131189924825,8051.507100007837,-39.30601898464763,-90.41985078349427,11.807812814199018,-0.4858104915608563,15451.646538636132,15377.983560977422,-73.66297765870995,-174.29493917961338,26.968983862193483,-0.47673222057286296,0.0,0.00020986961412658954,-61.96856631687406,-76.80724918480007,-47.12988344894804,1045.12734375,38.51144425698524,60.71586614583688,1.0,0
high_speed,0.4,20,10266.755736400228,10248.338628113343,-18.4171082868854,-22.95119994936515,-13.883016624405652,-0.1793858620945713,18596.501684131632,18564.138532910038,-32.363151221597356,-39.68305950377484,-25.04324293941987,-0.17402816815386726,0.0,0.00012516274762298037,-61.56294250923172,-75.60891378584256,-47.51697123262088,1001.4046875,18.832664876826485,62.952025206545954,1.0,1
high_speed,0.6,20,10805.538409134524,10788.98743189002,-16.55097724450684,-21.209789066658992,-11.892165422354685,-0.15317124069000926,19809.801167673337,19781.04411974659,-28.757047926746782,-36.25311765664816,-21.260978196845407,-0.1451657575123673,0.0,0.0001537221945532064,-71.04242941817492,-87.92423365609838,-54.16062518025145,1124.13984375,15.076594600399337,64.71387712896474,1.0,1
walking,0.2,20,8035.267211028478,8035.267211028478,0.0,0.0,0.0,0.0,15333.667183552912,15333.667183552912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
walking,0.4,20,10231.435391766627,10231.227058433293,-0.20833333333321208,-0.5634257963097291,0.14675912964330495,-0.0020362082675209063,18488.127325480622,18487.40232548062,-0.725,-1.8497602310132821,0.39976023101328206,-0.003921435563680881,0.0,3.7908965543051453e-06,-1.0,-2.440517948352431,0.44051794835243085,24.9375,8.554720133662522,41.06265664160401,0.1,0
walking,0.6,20,10742.23005941779,10741.79950122368,-0.43055819410992624,-1.0180614740870308,0.15694508586717848,-0.00400808949099403,19677.832458395445,19676.776274069736,-1.0561843257086365,-2.3288661985420664,0.2164975471247934,-0.0053673814325928,0.0,2.3480012428897525e-06,-2.6406361017835938,-6.253884846173565,0.9726126426063777,56.7984375,7.762389427852914,47.60714356317284,0.15,0
