arrival_rate_rps,keep_avg_ms,reactive_avg_ms,predictive_avg_ms,reactive_gain_pct,reactive_ci_low_ms,reactive_ci_high_ms,prefetch_extra_pct,extra_ci_low_ms,extra_ci_high_ms,total_gain_pct,total_ci_low_ms,total_ci_high_ms,keep_p95_ms,predictive_p95_ms,p95_gain_pct,slo_gain_pp,goodput_gain_pct
0.1,8110.937209220319,7449.1750841351595,7245.599049977957,8.158886057370584,343.099959552192,980.424290618129,2.7328668189148475,112.54054530580723,294.611523008595,10.668781386430492,470.32917089363843,1260.3471475910846,16121.611305045537,14505.736550765601,10.02303506582013,3.6666666666666625,5.260674999103565
0.2,9964.16499266082,9022.747417772269,8772.460823522482,9.44803278129136,393.47589186250366,1489.359257914603,2.7739510224656483,121.93363395943723,378.63955454013023,11.95990000181748,579.6748924352619,1803.7334458414116,18758.58737805614,16306.746980490967,13.07049591822328,3.6666666666666625,6.871669470212649
0.4,11935.011238649618,10856.601243030804,10685.5661792512,9.035684793714793,487.99210455951356,1668.827886678114,1.5754015455748283,48.80285397053777,293.2672735886748,10.468738021396174,625.4633761441479,1873.4267426526926,22264.74813037702,19814.89425845488,11.003285811168329,3.166666666666668,8.199497700757409
0.6,13040.08585821355,11993.58429241306,11720.622593578717,8.025265916031765,460.15010381694594,1632.8530277840432,2.2758976147523535,108.45667219159265,437.4667254770872,10.118516695223622,610.0503428292769,2028.876186440391,24015.509133793286,21720.098158240038,9.558035862430557,2.3333333333333317,6.954534493320219
