component,calls,mean_ms,median_ms,p95_ms,p99_ms,max_ms
best_batch,52,1.4997679816308216,0.45135593973100185,5.356898426543911,11.727445814758553,15.316860983148217
continuation_action_candidates,162,0.37526691556666736,0.3855795366689563,0.4960862104780972,0.51742629497312,3.2560790423303843
