episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,migration_ms,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,56606.05806388834,8541.78010520577,11526.486038859774,0.5,0.21199144421002108,0.10599572210501054,9,8,0.625,0.0,114.9850065117183,12.776111834635365,14.373125813964787,0.0,224,-304.1195294982509,
1,20008,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,22077.553482406867,3705.4006190912987,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,224,-154.20536769647845,
2,20009,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,35870.05573508522,14326.075359959663,22997.92213734667,0.33333333333333337,0.33454087968596496,0.11151362656198831,8,6,0.6666666666666666,0.0,104.07177658549767,13.00897207318721,17.345296097582946,0.0,112,-177.77908358384593,
3,20010,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,5,2.4,47288.91440216057,16947.10989725443,27993.940220900757,0.6666666666666667,0.25375926158820294,0.16917284105880195,19,10,0.7,0.0,243.06286443155705,12.792782338503002,24.306286443155706,0.0,140,-226.59741346466353,
4,20011,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,5,2.4,45735.395654553184,12382.973249730114,18548.026806296086,0.5833333333333333,0.26237883871472184,0.15305432258358773,13,9,0.6666666666666666,0.0,162.88847919051386,12.529883014654912,18.098719910057095,0.0,140,-219.37902096399748,
5,20012,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,6,2.0,33349.55532055189,8646.146388301886,14548.08833479257,0.25,0.3598248877580961,0.08995622193952403,5,4,0.5,0.0,60.0,12.0,15.0,0.0,168,-185.62413821285162,
6,20013,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,40927.45749980129,16218.388393968939,24467.467239004713,0.16666666666666663,0.29320169717501415,0.04886694952916902,12,10,0.2,0.0,149.1906319891353,12.432552665761277,14.91906319891353,0.0,112,-190.9123083079085,
7,20014,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,44110.69185875333,16368.257959828226,32371.91563899896,0.41666666666666663,0.27204288788815995,0.1133512032867333,13,9,0.4444444444444444,0.0,164.26248128206197,12.635575483235536,18.251386809117996,0.0,112,-214.07794147403067,
8,20015,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,45212.03920152597,7443.022267966365,14373.121668600166,0.5833333333333333,0.26541603103792283,0.154826018105455,4,3,1.0,0.0,54.184741890473546,13.546185472618387,18.06158063015785,0.0,224,-224.12925908524525,
9,20016,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,49175.489400257495,16989.95449830998,26550.250465840578,0.41666666666666663,0.24402400761744455,0.1016766698406019,14,10,0.5,0.0,187.16489936941042,13.368921383529315,18.71648993694104,0.0,112,-228.1508916123291,
