episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,migration_ms,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,56444.26586637169,8527.22965404514,11475.374384384137,0.5,0.21259909781463468,0.10629954890731734,1,1,0.0,0.0,12.0,12.0,12.0,0.0,224,-295.45651890814327,
1,20008,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,224,-146.28972704742998,
2,20009,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,37069.57707019312,14813.107920888857,23759.743241344506,0.16666666666666663,0.3237155896674352,0.05395259827790586,3,3,0.0,0.0,37.00674954428544,12.33558318142848,12.33558318142848,0.0,112,-178.28975615352377,
3,20010,0.4,node_dp,driving,keep,0.1,12,0,1.0,5,2.4,47034.04807592826,16859.411642745803,27689.387911956794,0.6666666666666667,0.25513432270656555,0.1700895484710437,6,6,0.6666666666666666,0.0,74.89698040996187,12.482830068326978,12.482830068326978,0.0,140,-220.3200085368976,
4,20011,0.4,node_dp,driving,keep,0.1,12,0,1.0,5,2.4,45911.35830540869,12357.757898109287,18617.53392454181,0.5833333333333333,0.2613732296956745,0.1524677173224768,5,5,0.6,0.0,63.3351141721312,12.66702283442624,12.66702283442624,0.0,140,-215.05841687196198,
5,20012,0.4,node_dp,driving,keep,0.1,12,0,1.0,6,2.0,33336.72653024151,8631.68526320824,14522.700743845213,0.25,0.3599633572034784,0.0899908393008696,1,1,0.0,0.0,12.0,12.0,12.0,0.0,168,-179.64101229365366,
6,20013,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,41429.80973404544,16181.575599815675,24517.192913700663,0.16666666666666663,0.28964651484119314,0.04827441914019885,3,3,0.6666666666666666,0.0,36.0,12.0,12.0,0.0,112,-187.32132204218368,
7,20014,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,47443.69925674177,16974.233759328035,34966.79473967922,0.41666666666666663,0.252931373143185,0.10538807214299374,6,6,0.5,0.0,72.0,12.0,12.0,0.0,112,-215.9845656783338,
8,20015,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,45172.54924653008,7426.074854771391,14340.21720928108,0.5833333333333333,0.26564805839293604,0.15496136739587935,2,2,0.5,0.0,29.389573789151353,14.694786894575676,14.694786894575676,0.0,224,-215.12211914793477,
9,20016,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,50140.641153309174,17049.68090008183,26717.999474088658,0.41666666666666663,0.2393268160115664,0.099719506671486,4,4,0.5,0.0,55.12705248175969,13.781763120439923,13.781763120439923,0.0,112,-225.06644902476367,
10,20017,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,42255.401966704994,8479.510710285262,15853.234955463895,0.8333333333333334,0.28398735881048676,0.2366561323420723,2,2,1.0,0.0,30.137276127051365,15.068638063525682,15.068638063525682,0.0,224,-215.42439084058293,
11,20018,0.4,node_dp,driving,keep,0.1,12,0,1.0,7,1.7142857142857142,40281.25257110998,11957.839036625985,24101.359212900123,0.5,0.29790533397182617,0.14895266698591308,3,3,1.0,0.0,36.2158014858821,12.071933828627367,12.071933828627367,0.0,196,-237.76929461201567,
12,20019,0.4,node_dp,driving,keep,0.1,12,0,1.0,6,2.0,47242.62526598089,10758.031755554548,23120.18891705908,0.5,0.25400789927398726,0.12700394963699363,3,2,1.0,0.0,37.48269310470414,12.49423103490138,18.74134655235207,0.0,168,-259.5195808552069,
13,20020,0.4,node_dp,driving,keep,0.1,12,0,1.0,7,1.7142857142857142,48008.51709741312,10413.865687235388,18767.04276644112,0.5833333333333333,0.24995564798744024,0.1458074613260068,3,3,0.6666666666666666,0.0,46.92364316883859,15.641214389612863,15.641214389612863,0.0,196,-222.5082300151492,
14,20021,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,48483.268523636536,13096.965151090642,25747.27059055432,0.6666666666666667,0.24750806547107618,0.16500537698071746,3,3,0.3333333333333333,0.0,39.26513498243693,13.088378327478978,13.088378327478978,0.0,112,-208.67626923919173,
15,20022,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,35740.92614781268,6374.773576846393,12824.71089686791,0.41666666666666663,0.3357495536173841,0.13989564734057672,0,0,,0.0,0.0,0.0,0.0,0.0,224,-177.0479282999034,
16,20023,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,39128.62016305611,12544.45814444394,23430.052333110398,0.5,0.30668088856682924,0.15334044428341462,4,4,0.75,0.0,49.85468160775386,12.463670401938465,12.463670401938465,0.0,112,-163.8874585227887,
17,20024,0.4,node_dp,driving,keep,0.1,12,0,1.0,4,3.0,54462.91606130068,24358.728679085078,42844.76717865982,0.08333333333333337,0.22033340973688245,0.01836111747807354,5,4,0.25,0.0,65.13062651593276,13.026125303186552,16.28265662898319,0.0,112,-271.865911211486,
18,20025,0.4,node_dp,driving,keep,0.1,12,0,1.0,8,1.5,40596.998337378296,8935.607759732962,18011.582288266894,0.5,0.295588356071917,0.1477941780359585,0,0,,0.0,0.0,0.0,0.0,0.0,224,-207.25614298835532,
19,20026,0.4,node_dp,driving,keep,0.1,12,0,1.0,7,1.7142857142857142,56033.94674242886,9787.288654849322,20842.412525419248,0.5833333333333333,0.21415589473217686,0.12492427192710318,4,4,0.5,0.0,50.9359504381651,12.733987609541275,12.733987609541275,0.0,196,-264.63628412923737,
