episode,episode_seed,request_id,physical_residual_ms,request_residual_ms,was_capped,handover_probability
0,20007,r0004,5407.643859967502,2500.0,1,0.75
0,20007,r0000,2753.993747460918,2500.0,1,0.75
0,20007,r0007,1475.113867987231,1475.113867987231,0,0.75
0,20007,r0019,5814.951380150771,2500.0,1,0.75
0,20007,r0002,1961.1027038142493,1961.1027038142493,0,0.75
0,20007,r0015,8239.832444986852,2500.0,1,0.75
0,20007,r0006,2492.765323316795,2492.765323316795,0,0.75
0,20007,r0005,8989.95741243245,2500.0,1,0.75
1,20008,r0012,3269.3882594150155,2500.0,1,0.75
1,20008,r0007,2390.881748935207,2390.881748935207,0,0.75
1,20008,r0008,5407.345647216792,2500.0,1,0.75
1,20008,r0005,6102.454376631614,2500.0,1,0.75
1,20008,r0000,4627.958445665318,2500.0,1,0.75
1,20008,r0023,3789.289558745694,2500.0,1,0.75
1,20008,r0014,3076.8042413682388,2500.0,1,0.75
1,20008,r0013,8065.180093777791,2500.0,1,0.75
2,20009,r0005,5425.273072632095,2500.0,1,0.75
2,20009,r0007,2199.699550150208,2199.699550150208,0,0.75
2,20009,r0017,6539.79287144543,2500.0,1,0.75
2,20009,r0011,7596.341183566319,2500.0,1,0.75
2,20009,r0020,2661.6364162904665,2500.0,1,0.75
2,20009,r0000,152.5908026896741,152.5908026896741,0,0.75
2,20009,r0003,1680.4175847286406,1680.4175847286406,0,0.75
2,20009,r0019,5647.692123851313,2500.0,1,0.75
3,20010,r0020,7728.462947435675,2500.0,1,0.75
3,20010,r0017,20.17647309626591,20.17647309626591,0,0.75
3,20010,r0005,5269.966588515848,2500.0,1,0.75
3,20010,r0021,1138.774761687293,1138.774761687293,0,0.75
3,20010,r0002,8440.87193889663,2500.0,1,0.75
3,20010,r0000,3513.4340771753323,2500.0,1,0.75
3,20010,r0001,2451.6766409415304,2451.6766409415304,0,0.75
3,20010,r0011,3407.0880213975925,2500.0,1,0.75
4,20011,r0006,7171.657513133581,2500.0,1,0.75
4,20011,r0004,92.31081266187539,92.31081266187539,0,0.75
4,20011,r0021,8701.839316747348,2500.0,1,0.75
4,20011,r0000,2494.7070212754916,2494.7070212754916,0,0.75
4,20011,r0013,564.4137004020395,564.4137004020395,0,0.75
4,20011,r0019,7959.900257483332,2500.0,1,0.75
4,20011,r0008,8017.8906947105825,2500.0,1,0.75
4,20011,r0011,3872.2174442510986,2500.0,1,0.75
5,20012,r0021,1854.9081304956835,1854.9081304956835,0,0.75
5,20012,r0015,4951.709421439004,2500.0,1,0.75
5,20012,r0007,3125.051512686836,2500.0,1,0.75
5,20012,r0003,148.8865866606593,148.8865866606593,0,0.75
5,20012,r0009,4945.395220367032,2500.0,1,0.75
5,20012,r0013,3834.9251205242454,2500.0,1,0.75
5,20012,r0005,4649.862274044766,2500.0,1,0.75
5,20012,r0002,6162.701446285022,2500.0,1,0.75
6,20013,r0006,3542.8659973207723,2500.0,1,0.75
6,20013,r0020,2746.152704849166,2500.0,1,0.75
6,20013,r0002,179.5233814504063,179.5233814504063,0,0.75
6,20013,r0017,2158.2162115394276,2158.2162115394276,0,0.75
6,20013,r0011,5254.815152303403,2500.0,1,0.75
6,20013,r0004,2759.2244955288734,2500.0,1,0.75
6,20013,r0003,5073.172066368152,2500.0,1,0.75
6,20013,r0023,7008.835306548099,2500.0,1,0.75
7,20014,r0023,4768.75847361912,2500.0,1,0.75
7,20014,r0016,2598.773661633242,2500.0,1,0.75
7,20014,r0019,6297.581450154259,2500.0,1,0.75
7,20014,r0015,2084.372075795698,2084.372075795698,0,0.75
7,20014,r0004,2423.0328550929516,2423.0328550929516,0,0.75
7,20014,r0012,1490.2186766126433,1490.2186766126433,0,0.75
7,20014,r0011,5651.460320234564,2500.0,1,0.75
7,20014,r0008,4862.865118958194,2500.0,1,0.75
8,20015,r0022,768.7543539877552,768.7543539877552,0,0.75
8,20015,r0001,8070.335804982398,2500.0,1,0.75
8,20015,r0011,2988.1141347831144,2500.0,1,0.75
8,20015,r0013,5024.064099966596,2500.0,1,0.75
8,20015,r0017,1845.4096310193054,1845.4096310193054,0,0.75
8,20015,r0015,6.874200326230493,6.874200326230493,0,0.75
8,20015,r0019,742.5480900082803,742.5480900082803,0,0.75
8,20015,r0018,3073.319773017436,2500.0,1,0.75
9,20016,r0000,2513.1884377522656,2500.0,1,0.75
9,20016,r0006,6281.496377855467,2500.0,1,0.75
9,20016,r0007,3967.9062978337206,2500.0,1,0.75
9,20016,r0009,4858.164557829074,2500.0,1,0.75
9,20016,r0002,2713.0923043724397,2500.0,1,0.75
9,20016,r0012,1264.864774225527,1264.864774225527,0,0.75
9,20016,r0019,923.0333413737717,923.0333413737717,0,0.75
9,20016,r0004,3351.9646497981958,2500.0,1,0.75
10,20017,r0013,4011.0206160131183,2500.0,1,0.75
10,20017,r0011,4191.190602782377,2500.0,1,0.75
10,20017,r0019,1340.0670875193791,1340.0670875193791,0,0.75
10,20017,r0020,7342.710844400432,2500.0,1,0.75
10,20017,r0017,2923.1480169606,2500.0,1,0.75
10,20017,r0010,4397.991760881507,2500.0,1,0.75
10,20017,r0012,3867.020674708623,2500.0,1,0.75
10,20017,r0014,8121.462828864407,2500.0,1,0.75
11,20018,r0016,7472.420908107972,2500.0,1,0.75
11,20018,r0000,1264.9008764733826,1264.9008764733826,0,0.75
11,20018,r0011,1530.9591472083484,1530.9591472083484,0,0.75
11,20018,r0012,1756.8202656452922,1756.8202656452922,0,0.75
11,20018,r0017,2513.0842502648593,2500.0,1,0.75
11,20018,r0021,2391.3938381388543,2391.3938381388543,0,0.75
11,20018,r0020,4656.027994546894,2500.0,1,0.75
11,20018,r0002,7899.494545895512,2500.0,1,0.75
12,20019,r0020,8637.199392418395,2500.0,1,0.75
12,20019,r0018,149.28784483614072,149.28784483614072,0,0.75
12,20019,r0007,2825.4656731323958,2500.0,1,0.75
12,20019,r0011,2086.5231795409454,2086.5231795409454,0,0.75
12,20019,r0016,73.47640381689416,73.47640381689416,0,0.75
12,20019,r0023,767.3872622365016,767.3872622365016,0,0.75
12,20019,r0015,4553.2401481202505,2500.0,1,0.75
12,20019,r0000,7703.493204030005,2500.0,1,0.75
13,20020,r0012,4877.706579773272,2500.0,1,0.75
13,20020,r0001,5447.468960775743,2500.0,1,0.75
13,20020,r0008,1468.4236791683325,1468.4236791683325,0,0.75
13,20020,r0016,5086.030896298038,2500.0,1,0.75
13,20020,r0021,5400.87384897807,2500.0,1,0.75
13,20020,r0007,2302.393042613203,2302.393042613203,0,0.75
13,20020,r0017,4827.612484717978,2500.0,1,0.75
13,20020,r0013,4071.417704282623,2500.0,1,0.75
14,20021,r0007,7781.26621520898,2500.0,1,0.75
14,20021,r0021,8024.3314121766925,2500.0,1,0.75
14,20021,r0009,893.7342160136541,893.7342160136541,0,0.75
14,20021,r0014,296.33850042710765,296.33850042710765,0,0.75
14,20021,r0002,2071.391314748773,2071.391314748773,0,0.75
14,20021,r0017,7641.6644416029485,2500.0,1,0.75
14,20021,r0016,5012.076980915146,2500.0,1,0.75
14,20021,r0023,8552.791590055207,2500.0,1,0.75
15,20022,r0023,2813.3691062336475,2500.0,1,0.75
15,20022,r0001,6575.032026701334,2500.0,1,0.75
15,20022,r0019,2083.9129975845717,2083.9129975845717,0,0.75
15,20022,r0022,8420.518449217554,2500.0,1,0.75
15,20022,r0014,3424.8070381831385,2500.0,1,0.75
15,20022,r0007,7105.35146210582,2500.0,1,0.75
15,20022,r0002,1413.038132982665,1413.038132982665,0,0.75
15,20022,r0009,4095.250908190432,2500.0,1,0.75
16,20023,r0017,1427.8598699187423,1427.8598699187423,0,0.75
16,20023,r0001,1014.2709506451301,1014.2709506451301,0,0.75
16,20023,r0023,2190.9775101322066,2190.9775101322066,0,0.75
16,20023,r0020,5321.939008200172,2500.0,1,0.75
16,20023,r0003,5323.506544806549,2500.0,1,0.75
16,20023,r0000,5534.934064485611,2500.0,1,0.75
16,20023,r0007,2119.287909246692,2119.287909246692,0,0.75
16,20023,r0015,5680.951309104528,2500.0,1,0.75
17,20024,r0014,2115.355463436201,2115.355463436201,0,0.75
17,20024,r0019,2653.172542762284,2500.0,1,0.75
17,20024,r0005,7512.517783618845,2500.0,1,0.75
17,20024,r0012,1142.3900463173522,1142.3900463173522,0,0.75
17,20024,r0003,9006.88526956457,2500.0,1,0.75
17,20024,r0001,2870.3009443128285,2500.0,1,0.75
17,20024,r0020,4076.9578187663355,2500.0,1,0.75
