episode,episode_seed,request_id,physical_residual_ms,request_residual_ms,was_capped,handover_probability
17,20024,r0022,9077.685778741805,2500.0,1,0.75
18,20025,r0015,2490.6912179691208,2490.6912179691208,0,0.75
18,20025,r0005,1527.203930099051,1527.203930099051,0,0.75
18,20025,r0014,2547.2681474883902,2500.0,1,0.75
18,20025,r0021,227.63884241076448,227.63884241076448,0,0.75
18,20025,r0023,4883.253471031385,2500.0,1,0.75
18,20025,r0012,3281.977024295855,2500.0,1,0.75
18,20025,r0003,4030.014823901376,2500.0,1,0.75
18,20025,r0020,4435.227575825244,2500.0,1,0.75
19,20026,r0022,4812.571769827049,2500.0,1,0.75
19,20026,r0000,799.9669077461585,799.9669077461585,0,0.75
19,20026,r0006,4148.861435167433,2500.0,1,0.75
19,20026,r0021,1685.2838305357582,1685.2838305357582,0,0.75
19,20026,r0004,4014.765197735149,2500.0,1,0.75
19,20026,r0020,1473.9729639147408,1473.9729639147408,0,0.75
19,20026,r0016,3279.3479779662557,2500.0,1,0.75
19,20026,r0018,4218.61824992378,2500.0,1,0.75
