episode,episode_seed,node_id,group_size,prefill_batch_ids,service_batch_ids,batch_changed,prefill_utility,service_utility,utility_delta,mean_p_prefill,mean_p_service,service_saturation_rate,mean_penalty_delta,max_penalty_delta
0,20007,edge_5,1,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015,0,7.812670835311961,7.779403469190318,-0.033267366121642716,0.017560571341817,0.8611136055814511,0.5,0.033153808031555196,0.04663475469285241
0,20007,cloud_0,1,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015,0,8.182005014413583,8.173190590038276,-0.00881442437530744,0.01053368541444708,0.2410621591755475,0.0,0.008534514973924587,0.011139745706601829
0,20007,edge_5,2,r0000|r0007|r0002,r0000|r0007|r0002,0,7.709690908798939,7.675467727307195,-0.03422318149174419,0.016832669626758553,0.8634817510904211,0.3333333333333333,0.03417283695392912,0.04637033166963766
0,20007,cloud_0,2,r0000|r0007|r0002,r0000|r0007|r0002,0,8.079397347580354,8.071591827316556,-0.007805520263797661,0.009812128902145728,0.21701301594828293,0.0,0.007734709951226927,0.009773523690522019
0,20007,edge_5,4,r0000|r0007|r0002,r0000|r0007|r0002,0,7.609751309053649,7.5755160980789835,-0.03423521097466509,0.02137951602126625,0.8689064710226678,0.6666666666666666,0.03421787962564602,0.04653905682167444
0,20007,cloud_0,4,r0000|r0007|r0002,r0000|r0007|r0002,0,7.967880608346068,7.96007508808227,-0.007805520263797661,0.013232358895574675,0.22043324594171188,0.0,0.007734709951226927,0.009773523690522017
0,20007,edge_5,8,r0000|r0007|r0002,r0000|r0007|r0002,0,7.479351245948623,7.445245964445802,-0.03410528150282044,0.030473208810281635,0.8750871480469254,0.6666666666666666,0.03408711678990218,0.04621396258821512
0,20007,cloud_0,8,r0000|r0007|r0002,r0000|r0007|r0002,0,7.840731704272187,7.8329261840083895,-0.007805520263797661,0.020072818882432567,0.22727370592856974,0.0,0.007734709951226924,0.009773523690522014
1,20008,cloud_0,1,r0012|r0008|r0005|r0000|r0023|r0014|r0013,r0012|r0008|r0005|r0000|r0023|r0014|r0013,0,6.810996146552888,6.805132909328407,-0.005863237224481566,0.027331522624070684,0.18804773206681039,0.0,0.0057987308460170075,0.010671628104155735
1,20008,cloud_0,2,r0012|r0008|r0005|r0000|r0023|r0014|r0013,r0012|r0008|r0005|r0000|r0023|r0014|r0013,0,6.716661908776876,6.710798671552395,-0.005863237224481566,0.05240426584241576,0.2131204752851554,0.0,0.005798730846017008,0.010671628104155737
1,20008,cloud_0,4,r0012|r0008|r0005|r0000|r0023|r0014|r0013,r0012|r0008|r0005|r0000|r0023|r0014|r0013,0,6.61721339290988,6.611350155685399,-0.005863237224481566,0.10254975227910591,0.26326596172184563,0.0,0.0057987308460170075,0.010671628104155735
1,20008,cloud_0,8,r0008|r0000|r0014|r0013,r0008|r0000|r0014|r0013,0,6.475999666258291,6.47083912028013,-0.005160545978161402,0.03573398279899983,0.17468506346720586,0.0,0.005002238904055417,0.0075115314949004254
2,20009,edge_5,1,r0007|r0011|r0000,r0007|r0011|r0000,0,6.83760292093921,6.810293826569987,-0.027309094369222464,0.023037847927907844,0.781343339722226,0.3333333333333333,0.027298997704595457,0.03379894195000191
2,20009,cloud_0,1,r0007|r0011|r0020|r0000,r0007|r0011|r0020|r0000,0,7.284392636515205,7.272556245794773,-0.011836390720432632,0.030192374673303456,0.34530263804685646,0.0,0.01146436937516537,0.024462620746762122
2,20009,edge_5,2,r0007|r0011|r0000,r0007|r0011|r0000,0,6.710378281998031,6.683385793378278,-0.026992488619752564,0.036657541939431736,0.7861612666931861,0.3333333333333333,0.026982134091135156,0.03356303930610189
2,20009,cloud_0,2,r0007|r0011|r0000,r0007|r0011|r0000,0,7.169509005396524,7.157886520455493,-0.011622484941030464,0.032002756629922545,0.35406930559054706,0.0,0.011594395762582484,0.02140422161100047
2,20009,edge_5,4,r0007|r0011|r0000,r0007|r0011|r0000,0,6.600099391433359,6.573740114312548,-0.026359277120810987,0.06389692996247953,0.7957971206351061,0.3333333333333333,0.026348406864214555,0.034050681675802955
2,20009,cloud_0,4,r0007|r0011|r0000,r0007|r0011|r0000,0,7.044598758802637,7.032976273861607,-0.011622484941030464,0.0470575469898098,0.3691240959504343,0.0,0.011594395762582485,0.02140422161100047
2,20009,edge_5,8,r0007|r0011|r0020|r0000,r0007|r0011|r0020|r0000,0,6.519730854530124,6.500189506348194,-0.019541348181929763,0.25055032101212216,0.7787315020378989,0.5,0.019436858464431012,0.0338993693502373
2,20009,cloud_0,8,r0007|r0011|r0020|r0000,r0007|r0011|r0020|r0000,0,6.929532045106235,6.919482749809189,-0.010049295297045902,0.14775786386432885,0.41897277794424004,0.25,0.009884136800594263,0.0181416904484777
3,20010,edge_2,1,r0020|r0000,r0020|r0000,0,6.511064435230365,6.48750962969134,-0.02355480553902467,0.008897147119017734,0.6142601201731318,0.0,0.023439588503700978,0.026114357082138516
3,20010,edge_5,1,r0020|r0000,r0020|r0000,0,6.612665406162192,6.591408044781893,-0.021257361380298434,0.011683507464346848,0.5919434998075106,0.0,0.021149436219248162,0.021875065526460173
3,20010,cloud_0,1,r0020|r0000,r0020|r0000,0,7.025325726187233,7.020994632023585,-0.004331094163647187,0.004375941920740809,0.12107607620056997,0.0,0.004226738250361715,0.004401513607862684
3,20010,edge_2,2,r0020|r0000,r0020|r0000,0,6.4038439502129805,6.380136297225187,-0.023707652987793537,0.013467008852718985,0.6226822828561149,0.0,0.02358875414634347,0.026280617776535783
